Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=8e0g9&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=08MGN7MH6PKJZYYZ468Y&pd_rd_wg=ZIiM6&pd_rd_r=98e46537-ab09-4d0f-b8dc-2786a385d0f3&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
66% off,65%,$49.20 off,25.8,75.0,https://www.amazon.com/Lacoste-Kids-Sneaker-Unisex-Toddler/dp/B0C9JR6PCT?pd_rd_w=9eJn4&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=08MGN7MH6PKJZYYZ468Y&pd_rd_wg=ZIiM6&pd_rd_r=98e46537-ab09-4d0f-b8dc-2786a385d0f3&pd_rd_i=B0C9JR6PCT&ref_=MDW_SummerFaves_LP_B0C9JR6PCT&tag=nicdav09-20
54% off,54%,$38.01 off,31.99,70.0,https://www.amazon.com/PUMA-Sneaker-White-Putty-Team-Regal-Red-Clyde/dp/B0CL7TB9Z4?pd_rd_w=Yd2Wb&content-id=amzn1.sym.5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_p=5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_r=08MGN7MH6PKJZYYZ468Y&pd_rd_wg=ZIiM6&pd_rd_r=98e46537-ab09-4d0f-b8dc-2786a385d0f3&pd_rd_i=B0CL7TB9Z4&tag=nicdav09-20
62% off,61%,$40.01 off,24.99,65.0,https://www.amazon.com/PGA-TOUR-Shorts-Active-Waistband/dp/B0CKS3F9BK?pd_rd_w=5XiMR&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=9C5F6GRH68K9NCDAEJGG&pd_rd_wg=UA0fr&pd_rd_r=f1fa223f-9835-4fb6-b21b-3c480b7f4ff9&pd_rd_i=B0CKS3F9BK&ref_=MDW_SummerFaves_LP_B0CKS3F9BK&tag=nicdav09-20
R Markdown Cookbook (Chapman & Hall/CRC The R Series),54%,$23.33 off,19.66,42.99,https://www.amazon.com/Markdown-Cookbook-Chapman-Hall-CRC-ebook/dp/B08JW8SPYQ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.NogYVpq6LM6FebtYRk93SbOhJKYDZBComqmKE-NI8CXB_Bn7yC6fmlcHYzFOCsX-TZJoHClAhWkr7A2wLn1JiZT6cwfxAqOxRSl0hsdfytDZZ8NnTOhdJ5xKa3GgCl21kbdK2vZCJxo81uW6GpoY_frgKxMjLW7GVaJiov4kjt8Hdp9IB9PQV3bCJFFEKY1op-sEIwRH8ceyHmhkgm1dO0ZRtzWeHDmuJHAMZmhrb8s.pYFNpyYBtnVNuJ3eLKFtMzsaQ9f-I0e12_ojwqLBZWY&dib_tag=se&keywords=markdown&qid=1748094125&sr=8-7&tag=nicdav09-20
Using Markdown: A Short Instruction Guide,70%,$7.00 off,2.99,9.99,https://www.amazon.com/Using-Markdown-Short-Instruction-Guide-ebook/dp/B07CBD68BF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.NogYVpq6LM6FebtYRk93SbOhJKYDZBComqmKE-NI8CXB_Bn7yC6fmlcHYzFOCsX-TZJoHClAhWkr7A2wLn1JiZT6cwfxAqOxRSl0hsdfytDZZ8NnTOhdJ5xKa3GgCl21kbdK2vZCJxo81uW6GpoY_frgKxMjLW7GVaJiov4kjt8Hdp9IB9PQV3bCJFFEKY1op-sEIwRH8ceyHmhkgm1dO0ZRtzWeHDmuJHAMZmhrb8s.pYFNpyYBtnVNuJ3eLKFtMzsaQ9f-I0e12_ojwqLBZWY&dib_tag=se&keywords=markdown&qid=1748094125&sr=8-8&tag=nicdav09-20
"Yankee Candle MidSummer's Night Scented, Classic Large Single Wick Jar Candle, 22oz with Over 110 Hours of Burn Time, Ideal for Dinner Parties, Relaxing Saturdays, and Special Occasions",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Midsummers-Night/dp/B000ORX6WI/ref=sr_1_13?dib=eyJ2IjoiMSJ9.cGCelChSAMjdTVdLm07zCkG0Ot2rMbbk2NK8zKLsT2IIKqZTSyvodUIyis_JVqsfBJdjWx9J1SLqvK5lxA-2Os5sO_3fBCztRKckKR_nTVI9cd_YXBOaqiw7yeGBk7a6iJATlw1bapYP-fcoXH8RHPZx583Zd_8AgiIn2AzZXOik6pBjLRG6_WO4UydXWonckwcAVrkjJ3z7k4nGn-vQ92-hvhhAbkiU2eNKzc3BNCrDm4aXdoFAbpFqiSW9OAbORYM8dlPeYJE1qc7jdKR0W57OX4PblIdUNicMFjAuXMk.cuGSL0LE3G_VggEyADSAN0RVsiMz9Z8myeh-nHRUt4A&dib_tag=se&keywords=special+offer&qid=1748094126&sr=8-13&tag=nicdav09-20
"Final Offer (Dreamland Billionaires, 3)",62%,$11.29 off,6.7,17.99,https://www.amazon.com/Final-Offer-Dreamland-Billionaires-3/dp/172827222X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.cGCelChSAMjdTVdLm07zCkG0Ot2rMbbk2NK8zKLsT2IIKqZTSyvodUIyis_JVqsfBJdjWx9J1SLqvK5lxA-2Os5sO_3fBCztRKckKR_nTVI9cd_YXBOaqiw7yeGBk7a6iJATlw1bapYP-fcoXH8RHPZx583Zd_8AgiIn2AzZXOik6pBjLRG6_WO4UydXWonckwcAVrkjJ3z7k4nGn-vQ92-hvhhAbkiU2eNKzc3BNCrDm4aXdoFAbpFqiSW9OAbORYM8dlPeYJE1qc7jdKR0W57OX4PblIdUNicMFjAuXMk.cuGSL0LE3G_VggEyADSAN0RVsiMz9Z8myeh-nHRUt4A&dib_tag=se&keywords=special+offer&qid=1748094126&sr=8-14&tag=nicdav09-20
Packaging efficiency,60%,$6.02 off,3.97,9.99,https://www.amazon.com/OstWony-Absorbent-Multipurpose-Double-Sided-Microfiber/dp/B08QTRG66J/ref=sr_1_2?dib=eyJ2IjoiMSJ9.mdJbEoc4r9ohn5KaBhRIXgWDoMn3Z-ncCUXDkNnAd16pYQ60-kg4236ZbCX5ISyCKoNzTvFtOdhAKaB9L7LR41XmjCCac147vaZeX-ZMF3HIVmSAAym3RQYKaxRAX_VGm76klKDxs-XO4H0XbirErTiBdVGNRW6u-Ov_tq6MjiGBJ0Mqmw7OOwvx4cNk0VNkJuWyfMa24ycTPLNyaDNjFaZTS_BoKFrBeQ5ni8LjtcQmw5YWAPipoAdSGcdmDGj73b0k6-bCh2HKDc-RusfgvmfcRCKagjPnPaItbpGXI2M.5zOcG-9INLLuOJL9BfD-R8-MDRByXhLjJH09vcY1IbA&dib_tag=se&keywords=closeout+sale&qid=1748094128&sr=8-2&tag=nicdav09-20
,69%,$6.29 off,2.7,8.99,https://www.amazon.com/Seniors-Underwire-Comfortable-Breathable-Everyday/dp/B0D8KGV6N9/ref=sr_1_12?dib=eyJ2IjoiMSJ9.mdJbEoc4r9ohn5KaBhRIXgWDoMn3Z-ncCUXDkNnAd16pYQ60-kg4236ZbCX5ISyCKoNzTvFtOdhAKaB9L7LR41XmjCCac147vaZeX-ZMF3HIVmSAAym3RQYKaxRAX_VGm76klKDxs-XO4H0XbirErTiBdVGNRW6u-Ov_tq6MjiGBJ0Mqmw7OOwvx4cNk0VNkJuWyfMa24ycTPLNyaDNjFaZTS_BoKFrBeQ5ni8LjtcQmw5YWAPipoAdSGcdmDGj73b0k6-bCh2HKDc-RusfgvmfcRCKagjPnPaItbpGXI2M.5zOcG-9INLLuOJL9BfD-R8-MDRByXhLjJH09vcY1IbA&dib_tag=se&keywords=closeout+sale&qid=1748094128&sr=8-12&tag=nicdav09-20
