Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=thMxg&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=X7TH8C9W2GV6J9FQ1YG4&pd_rd_wg=e7Kzz&pd_rd_r=8eae3551-106d-4aa2-99f7-bc642ee8edb7&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
55% off,54%,$120.99 off,99.0,219.99,https://www.amazon.com/CHEF-iQ-Thermometer-Ultra-Thin-Monitoring/dp/B0C7JNJW2N?pd_rd_w=thMxg&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=X7TH8C9W2GV6J9FQ1YG4&pd_rd_wg=e7Kzz&pd_rd_r=8eae3551-106d-4aa2-99f7-bc642ee8edb7&pd_rd_i=B0C7JNJW2N&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-1&tag=nicdav09-20
Love and Other Words,58%,$9.96 off,7.03,16.99,https://www.amazon.com/Love-Other-Words-Christina-Lauren/dp/1501128019/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-4&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-6&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-15&tag=nicdav09-20
Remarkably Bright Creatures: A Read with Jenna Pick,85%,$17.00 off,2.99,19.99,https://www.amazon.com/Remarkably-Bright-Creatures-Shelby-Pelt-ebook/dp/B09BNH4TLW/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-18&tag=nicdav09-20
"Flawless (Chestnut Springs, 1)",50%,$9.06 off,8.93,17.99,https://www.amazon.com/Flawless-Chestnut-Springs-Elsie-Silver/dp/1728297001/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-20&tag=nicdav09-20
"Throttled (Deluxe Edition) (Dirty Air, 1)",65%,$11.86 off,6.13,17.99,https://www.amazon.com/Throttled-Dirty-Air-Lauren-Asher/dp/1464227616/ref=sr_1_23?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-23&tag=nicdav09-20
"Things We Hide from the Light (Collector's Edition) (Knockemout Series, 2)",66%,$19.99 off,10.0,29.99,https://www.amazon.com/Things-Hide-Light-Collectors-Knockemout/dp/1464224358/ref=sr_1_26?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWv0WkwFlM53RsNyBZxQXq2fEnZ9ueYI1yGechMMzjrNS9Fp1dReooqj-uJ1TFJfeW-oGDZN23RN0guM2a_ZPRoFnxFcQQRGkjw7t08HwAcp8pHClG-gQa6RAMq5p0te13enpxREdQPbZUsDa8E0gAix5wFS-K1So3yxwP-lD-mWGAHstfDfqvREJ1KjcnC5i2s.4EfOg9gS6f-UssndZkFEmJHDE3UYiqw-g4x0vdUsutU&dib_tag=se&keywords=books+sale&qid=1747687180&sr=8-26&tag=nicdav09-20
