Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=qWLjl&content-id=amzn1.sym.96e4a189-5656-4176-86b3-afd77f1e0406&pf_rd_p=96e4a189-5656-4176-86b3-afd77f1e0406&pf_rd_r=MBV5ANSVJ0MVCAEJP14K&pd_rd_wg=W611A&pd_rd_r=fde0b7e0-bcdb-4a43-96fa-9c47d355d6d3&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
58% off,58%,$34.52 off,24.98,59.5,https://www.amazon.com/Nautica-Classic-Front-Stretch-Bright/dp/B075NY3ZFM?pd_rd_w=UDgBh&content-id=amzn1.sym.228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_p=228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_r=MBV5ANSVJ0MVCAEJP14K&pd_rd_wg=W611A&pd_rd_r=fde0b7e0-bcdb-4a43-96fa-9c47d355d6d3&pd_rd_i=B075NY3ZFM&tag=nicdav09-20
Sustainability features,53%,$15.90 off,14.05,29.95,https://www.amazon.com/Utopia-Bedding-4-Piece-Queen-Sheets/dp/B00NX0WXQI/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1lL7-HzWpb0M7KIYjQ_sYUyaMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wPCit2NidHNaysB-PJs-IVvk5sUTDgRregioN1yGCbk1wZbkoV2yyE3BSFg6JGx1dCbAZBvXbkAyuHjxAqPgunb-K7VaZE1DrzxwWAtZFdxJ_n388kMm5RIlQuyjEVv5-qUXfKKwesr9PRUA1GeILEcf92sX6z0f1z4TXMyC_aOyuBvkg_b1_ivVl09l0atNigCF71mme6Ke60FhZfl_H6o.4N6diVuqFEukk4do-gWwv6urjwXUBUuPuGXnogNOoe8&dib_tag=se&keywords=clearance+sale&qid=1747905206&sr=8-6&tag=nicdav09-20
,61%,$3.05 off,1.94,4.99,https://www.amazon.com/wet-wild-Multi-Stick-Moisturizing-Cruelty-Free/dp/B0CQNQ7WL2/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1lL7-HzWpb0M7KIYjQ_sYUyaMbLrdqAh4x85xgM4b4nr81_8oK2KxCnnft-VZjW2wPCit2NidHNaysB-PJs-IVvk5sUTDgRregioN1yGCbk1wZbkoV2yyE3BSFg6JGx1dCbAZBvXbkAyuHjxAqPgunb-K7VaZE1DrzxwWAtZFdxJ_n388kMm5RIlQuyjEVv5-qUXfKKwesr9PRUA1GeILEcf92sX6z0f1z4TXMyC_aOyuBvkg_b1_ivVl09l0atNigCF71mme6Ke60FhZfl_H6o.4N6diVuqFEukk4do-gWwv6urjwXUBUuPuGXnogNOoe8&dib_tag=se&keywords=clearance+sale&qid=1747905206&sr=8-10&tag=nicdav09-20
"Final Offer (Dreamland Billionaires, 3)",53%,$9.62 off,8.37,17.99,https://www.amazon.com/Final-Offer-Dreamland-Billionaires-3/dp/172827222X/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Vekta2h9WLYRkVHcuK26HA2vnSSB6NE2jvVUFziKZYMIKqZTSyvodUIyis_JVqsfBJdjWx9J1SLqvK5lxA-2OkI6hy0_b1CIuxD7TSWLSsnCeFHmDtR05ahYfjywFLGwsA5oAt13G2GKEdcJcIk2KpiD2D3zt5Q17LuVdA_wow1drMuq3Hgzx6pbLyM-c1iiu_fni5hIfdPlZTRf6yhCdajDE7jIv4vyZ3PmiT3kTy_6d-RtaKgTd4EO29xTv3fgS_f0LSgodbuY7sHf54K4MqbyYU5W1NUP8qZsEOZY36k.LDArw_TNbXpByej1ArRleInW_qLvuPwJfBzqakwbQ_c&dib_tag=se&keywords=special+offer&qid=1747905210&sr=8-15&tag=nicdav09-20
Magic Mixies - Magical Real Misting Gold Cauldron with 8 Inch Non-Electronic Plush Toy. Follow The Spell Book Add The Magic Ingredients. Who Will You Magically Create?,53%,$10.76 off,9.29,20.05,https://www.amazon.com/Magic-Mixies-Cauldron-Ingredients-Magically/dp/B0CQ5K6Y8Z/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpE2fDxhlf8cbQFHvT-ejjuYypzRZrO5pRqlt1f02IUlFPwdPnIxbCTmrcPWIEUACdQ0JFNydhxjN3uh0y61p6ihfuEgJsyRt8RX0tHMzH4iGvETOEpkXTDEu979azTpJRuqO1xAOZ3JCj6BD7SJzZPsDbgjY08gAaDMEy803D03pvN3TNGc1ZTcRo2Q6js1ZLlzUZRhAZWb5ImDPElL00llrEof-vx5uaDBW_S9Cxbgs.xm5yu_ht7AKMWMiIiK-mDfB65-INSW6yKpyXlitLby8&dib_tag=se&keywords=toys+deals&qid=1747905212&sr=8-3&tag=nicdav09-20
"Mattel Minecraft Sniffer Action Figure, 3.25-inch Scale with Game-Accurate Sounds & Pixelated Design",74%,$16.00 off,5.59,21.59,https://www.amazon.com/Mattel-Minecraft-Sniffer-Game-Accurate-Pixelated/dp/B0CMJPQHPD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpE2fDxhlf8cbQFHvT-ejjuYypzRZrO5pRqlt1f02IUlFPwdPnIxbCTmrcPWIEUACdQ0JFNydhxjN3uh0y61p6ihfuEgJsyRt8RX0tHMzH4iGvETOEpkXTDEu979azTpJRuqO1xAOZ3JCj6BD7SJzZPsDbgjY08gAaDMEy803D03pvN3TNGc1ZTcRo2Q6js1ZLlzUZRhAZWb5ImDPElL00llrEof-vx5uaDBW_S9Cxbgs.xm5yu_ht7AKMWMiIiK-mDfB65-INSW6yKpyXlitLby8&dib_tag=se&keywords=toys+deals&qid=1747905212&sr=8-7&tag=nicdav09-20
"Coodoo Upgraded Magnetic Blocks Tough Tiles STEM Toys for 3+ Year Old Boys and Girls Learning by Playing Games for Toddlers Kids, Compatible with Major Brands Building Blocks - Starter Set",50%,$12.58 off,12.41,24.99,https://www.amazon.com/Upgraded-Magnetic-Building-Learning-Compatible/dp/B08R3TW6PD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpE2fDxhlf8cbQFHvT-ejjuYypzRZrO5pRqlt1f02IUlFPwdPnIxbCTmrcPWIEUACdQ0JFNydhxjN3uh0y61p6ihfuEgJsyRt8RX0tHMzH4iGvETOEpkXTDEu979azTpJRuqO1xAOZ3JCj6BD7SJzZPsDbgjY08gAaDMEy803D03pvN3TNGc1ZTcRo2Q6js1ZLlzUZRhAZWb5ImDPElL00llrEof-vx5uaDBW_S9Cxbgs.xm5yu_ht7AKMWMiIiK-mDfB65-INSW6yKpyXlitLby8&dib_tag=se&keywords=toys+deals&qid=1747905212&sr=8-15&tag=nicdav09-20
"Magnet Toys for 3 Year Old Boys & Girls, Montessori Toys for Toddlers Kids, Magnetic Blocks Building DIY Learning Educational Toys Gift- Starter Set",57%,$24.65 off,18.34,42.99,https://www.amazon.com/Montessori-Toddlers-Magnetic-Building-Educational/dp/B0BJC3QTSB/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpE2fDxhlf8cbQFHvT-ejjuYypzRZrO5pRqlt1f02IUlFPwdPnIxbCTmrcPWIEUACdQ0JFNydhxjN3uh0y61p6ihfuEgJsyRt8RX0tHMzH4iGvETOEpkXTDEu979azTpJRuqO1xAOZ3JCj6BD7SJzZPsDbgjY08gAaDMEy803D03pvN3TNGc1ZTcRo2Q6js1ZLlzUZRhAZWb5ImDPElL00llrEof-vx5uaDBW_S9Cxbgs.xm5yu_ht7AKMWMiIiK-mDfB65-INSW6yKpyXlitLby8&dib_tag=se&keywords=toys+deals&qid=1747905212&sr=8-18&tag=nicdav09-20
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",71%,$14.20 off,5.79,19.99,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpE2fDxhlf8cbQFHvT-ejjuYypzRZrO5pRqlt1f02IUlFPwdPnIxbCTmrcPWIEUACdQ0JFNydhxjN3uh0y61p6ihfuEgJsyRt8RX0tHMzH4iGvETOEpkXTDEu979azTpJRuqO1xAOZ3JCj6BD7SJzZPsDbgjY08gAaDMEy803D03pvN3TNGc1ZTcRo2Q6js1ZLlzUZRhAZWb5ImDPElL00llrEof-vx5uaDBW_S9Cxbgs.xm5yu_ht7AKMWMiIiK-mDfB65-INSW6yKpyXlitLby8&dib_tag=se&keywords=toys+deals&qid=1747905212&sr=8-19&tag=nicdav09-20
