Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=ZKrZO&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=Q6QDXP1HJ0SV9ZT3TA6G&pd_rd_wg=ciBQ2&pd_rd_r=8121e86d-3b1d-4b3a-b8ee-219ece3bf433&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
54% off,53%,$16.05 off,13.94,29.99,https://www.amazon.com/Avidlove-Womens-Summer-Sleeveless-Camisole/dp/B0DXL4YSP5?pd_rd_w=aF5ek&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=Q6QDXP1HJ0SV9ZT3TA6G&pd_rd_wg=ciBQ2&pd_rd_r=8121e86d-3b1d-4b3a-b8ee-219ece3bf433&pd_rd_i=B0DXL4YSP5&ref_=MDW_SummerFaves_LP_B0DXL4YSP5&tag=nicdav09-20
56% off,56%,$42.02 off,32.98,75.0,https://www.amazon.com/PUMA-Carina-Street-Sneaker-WhiteBlackSilver/dp/B0CHT9TH9F?pd_rd_w=cDXsF&content-id=amzn1.sym.5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_p=5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_r=Q6QDXP1HJ0SV9ZT3TA6G&pd_rd_wg=ciBQ2&pd_rd_r=8121e86d-3b1d-4b3a-b8ee-219ece3bf433&pd_rd_i=B0CHT9TH9F&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_3?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&rdc=1&sr=8-3&tag=nicdav09-20
LAURA GELLER NEW YORK Award-Winning Baked Balance-n-Brighten Color Correcting Powder Foundation - Fair - Buildable Light to Medium Coverage - Demi-Matte Natural Finish,68%,$38.23 off,17.99,56.22,https://aax-us-iad.amazon.com/x/c/JLH-tzFpILwPKFILHKy5s1sAAAGW-6jCKwEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICA36i5V/https://www.amazon.com/dp/B000IEMGGE?pd_rd_i=B000IEMGGE&pf_rd_p=8aea4788-5372-43c5-bde7-3d239eb02a51&pf_rd_r=V1B0J96VCT53SQJQMY47&pd_rd_wg=b7Mjm&pd_rd_w=7HnMs&pd_rd_r=46c78d6b-d2fe-41ad-8c41-a77f08ac4dee&tag=nicdav09-20
,60%,$7.49 off,4.99,12.48,https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&sr=8-7&tag=nicdav09-20
"Squeeze Me Lip Balm, Moisturizing Lip Balm For A Sheer Tint Of Color, Infused With Hyaluronic Acid, Vegan & Cruelty-free, Strawberry",79%,$15.05 off,4.0,19.05,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=sr_1_9?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&sr=8-9&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_24?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&sr=8-24&tag=nicdav09-20
"Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",65%,$35.29 off,19.0,54.29,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=sr_1_36?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&sr=8-36&tag=nicdav09-20
"Glow Reviver Lip Oil, Nourishing Tinted Lip Oil For A High-shine Finish, Infused With Jojoba Oil, Vegan & Cruelty-free, Rose Envy",75%,$24.00 off,8.0,32.0,https://www.amazon.com/l-f-Reviver-Nourishing-High-shine-Cruelty-free/dp/B0CMJZ8G6Y/ref=sr_1_48?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV6xbnTzj862ZnskWAzL1pujMKqFxrbPp1N5TN-9uLxL8hcQA03J01Wq85BkfBTb3Fczi-DF_RA8caKxpPZvAbuCdtDf4PCmQQL1yYXvIkCqnYDL9djUkGY7vJaHTKIaOTWR3MdPB59BMI6C0ssQmzva-vwfMMpgjJD9lRHks9ZoYwps7av2oFKUuwvHR6uoAeots_zvydZzP8p4ZFv6CiBHeFqtTvSPGH_aNY03SozN8pAyJjDNbn0oORGl7kkgtfc.0x-KFBaIPKNg28T7mvWNUJl38KbiK7VvKxPyy6SyYoM&dib_tag=se&keywords=beauty+sale&qid=1747978862&sr=8-48&tag=nicdav09-20
