Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
52% off,52%,$11.37 off,10.43,21.8,https://www.amazon.com/Amazon-Essentials-Standard-Hooded-Sweatshirt/dp/B07N4LGQ8Z?pd_rd_w=xTjxv&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=MHM0NDSRPR8F4FYV9Z57&pd_rd_wg=m9v7u&pd_rd_r=793ee956-2d1d-4671-bde2-a229979431b0&pd_rd_i=B07N4LGQ8Z&tag=nicdav09-20
50% off,50%,$10.47 off,10.43,20.9,https://www.amazon.com/Amazon-Essentials-Womens-Sweatpant-Heather/dp/B07R9G4R45?pd_rd_w=xTjxv&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=MHM0NDSRPR8F4FYV9Z57&pd_rd_wg=m9v7u&pd_rd_r=793ee956-2d1d-4671-bde2-a229979431b0&pd_rd_i=B07R9G4R45&tag=nicdav09-20
58% off,58%,$34.52 off,24.98,59.5,https://www.amazon.com/Nautica-Classic-Front-Stretch-Bright/dp/B075NY3ZFM?pd_rd_w=u9iz4&content-id=amzn1.sym.228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_p=228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_r=MHM0NDSRPR8F4FYV9Z57&pd_rd_wg=m9v7u&pd_rd_r=793ee956-2d1d-4671-bde2-a229979431b0&pd_rd_i=B075NY3ZFM&tag=nicdav09-20
"Secret Outlast Antiperspirant Deodorant for Women, 72hr Sweat & Odor Protection, PH Balancing Minerals, Invisible Solid, Completely Clean Scent, Travel Size, 0.5 oz",50%,$1.31 off,1.31,2.62,https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B006MD1OHM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cbZ_Zk-dee6zg_x8RM5YLjTapkEWi5oHkBH3LNrP9mJuUqWAdMjtrTHBmAGl3215Ii-rvkCQvifJGSc1DCeBoSE501rtwaTqX2-V55SMQNj7M8CaYQ8kYs1n8CwP3ZH_F2koTWgISXXcDBcEGjusY_D9bCHT9XFmkiENZa2lrAxLFsrmWPzfDJBwTIFYRTtlS5MY_zR6MIb2uyQBinb6LDuAKuLRhG4jcPO1vHn_9yjojWtz2DK342zUVV3V7LcqWYhaJRJ8S-WO9QLxxYGSriwO6Xq1MJ6jx1qUHnW-LoQ.8_JLEmLaFr05K_-9itjJVrZscGJElsnY_HdRiq8ZzIQ&dib_tag=se&keywords=clearance+items&qid=1747806070&sr=8-3&tag=nicdav09-20
,60%,$7.49 off,4.99,12.48,https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=sr_1_14?dib=eyJ2IjoiMSJ9.cbZ_Zk-dee6zg_x8RM5YLjTapkEWi5oHkBH3LNrP9mJuUqWAdMjtrTHBmAGl3215Ii-rvkCQvifJGSc1DCeBoSE501rtwaTqX2-V55SMQNj7M8CaYQ8kYs1n8CwP3ZH_F2koTWgISXXcDBcEGjusY_D9bCHT9XFmkiENZa2lrAxLFsrmWPzfDJBwTIFYRTtlS5MY_zR6MIb2uyQBinb6LDuAKuLRhG4jcPO1vHn_9yjojWtz2DK342zUVV3V7LcqWYhaJRJ8S-WO9QLxxYGSriwO6Xq1MJ6jx1qUHnW-LoQ.8_JLEmLaFr05K_-9itjJVrZscGJElsnY_HdRiq8ZzIQ&dib_tag=se&keywords=clearance+items&qid=1747806070&sr=8-14&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_5?dib=eyJ2IjoiMSJ9.q1Au0J5ypbrfVoET5UgSJoApDByLaDKy97qTFjDU72JPtxg1NmeuMq0ugbzThYk8BYXlKuuSOBshfQC09axlAIGQrctzG8cJprnZu8pcRhS-eZ06Rncg1Pfg2nYnjs-K3D60bLiSQXtW9MeBmxUaCBanAxfVi1SNHlAFGihhM3DZej-XsVHjWtNmOax2om-w5pP6OOTpRNZbD6PqJ496M7c4bU79rG5lpKCMuaYaA1FbZy9aiDAi9gRVn4De4Jld5stIc6ptKcVyvHz6mKOV-E3BwEOSzohbhMLU_7F8MlE.jKoqRr_loRy_vJzt3Ku9kJZLZumfJEB9zANZE-GOXOU&dib_tag=se&keywords=beauty+deals&qid=1747806073&rdc=1&sr=8-5&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_23?dib=eyJ2IjoiMSJ9.q1Au0J5ypbrfVoET5UgSJoApDByLaDKy97qTFjDU72JPtxg1NmeuMq0ugbzThYk8BYXlKuuSOBshfQC09axlAIGQrctzG8cJprnZu8pcRhS-eZ06Rncg1Pfg2nYnjs-K3D60bLiSQXtW9MeBmxUaCBanAxfVi1SNHlAFGihhM3DZej-XsVHjWtNmOax2om-w5pP6OOTpRNZbD6PqJ496M7c4bU79rG5lpKCMuaYaA1FbZy9aiDAi9gRVn4De4Jld5stIc6ptKcVyvHz6mKOV-E3BwEOSzohbhMLU_7F8MlE.jKoqRr_loRy_vJzt3Ku9kJZLZumfJEB9zANZE-GOXOU&dib_tag=se&keywords=beauty+deals&qid=1747806073&sr=8-23&tag=nicdav09-20
"Yerba Mate Wake Up Eye Gel - Yerba Mate, Hyaluronic Acid and Caffeine to Hydrate, Minimize Puffiness and Swelling - Skincare for Face",50%,$5.98 off,5.98,11.96,https://www.amazon.com/Good-Molecules-Formulated-Revitalize-Fragrance/dp/B091NJQ29P/ref=sr_1_24?dib=eyJ2IjoiMSJ9.q1Au0J5ypbrfVoET5UgSJoApDByLaDKy97qTFjDU72JPtxg1NmeuMq0ugbzThYk8BYXlKuuSOBshfQC09axlAIGQrctzG8cJprnZu8pcRhS-eZ06Rncg1Pfg2nYnjs-K3D60bLiSQXtW9MeBmxUaCBanAxfVi1SNHlAFGihhM3DZej-XsVHjWtNmOax2om-w5pP6OOTpRNZbD6PqJ496M7c4bU79rG5lpKCMuaYaA1FbZy9aiDAi9gRVn4De4Jld5stIc6ptKcVyvHz6mKOV-E3BwEOSzohbhMLU_7F8MlE.jKoqRr_loRy_vJzt3Ku9kJZLZumfJEB9zANZE-GOXOU&dib_tag=se&keywords=beauty+deals&qid=1747806073&sr=8-24&tag=nicdav09-20
Carbon impact,67%,$48.85 off,22.99,71.84,https://www.amazon.com/KAHI-Wrinkle-Hydrating-Moisture-Moisturizer/dp/B0DDC3QGJL/ref=sr_1_25?dib=eyJ2IjoiMSJ9.q1Au0J5ypbrfVoET5UgSJoApDByLaDKy97qTFjDU72JPtxg1NmeuMq0ugbzThYk8BYXlKuuSOBshfQC09axlAIGQrctzG8cJprnZu8pcRhS-eZ06Rncg1Pfg2nYnjs-K3D60bLiSQXtW9MeBmxUaCBanAxfVi1SNHlAFGihhM3DZej-XsVHjWtNmOax2om-w5pP6OOTpRNZbD6PqJ496M7c4bU79rG5lpKCMuaYaA1FbZy9aiDAi9gRVn4De4Jld5stIc6ptKcVyvHz6mKOV-E3BwEOSzohbhMLU_7F8MlE.jKoqRr_loRy_vJzt3Ku9kJZLZumfJEB9zANZE-GOXOU&dib_tag=se&keywords=beauty+deals&qid=1747806073&sr=8-25&tag=nicdav09-20
"Natural Shea Lip Balm- Birthday Cake, All-Day Moisture Lip Care Products, 0.14 oz",86%,$22.67 off,3.69,26.36,https://www.amazon.com/eos-Natural-Birthday-Moisture-Products/dp/B0B2TKJVDH/ref=sr_1_26?dib=eyJ2IjoiMSJ9.q1Au0J5ypbrfVoET5UgSJoApDByLaDKy97qTFjDU72JPtxg1NmeuMq0ugbzThYk8BYXlKuuSOBshfQC09axlAIGQrctzG8cJprnZu8pcRhS-eZ06Rncg1Pfg2nYnjs-K3D60bLiSQXtW9MeBmxUaCBanAxfVi1SNHlAFGihhM3DZej-XsVHjWtNmOax2om-w5pP6OOTpRNZbD6PqJ496M7c4bU79rG5lpKCMuaYaA1FbZy9aiDAi9gRVn4De4Jld5stIc6ptKcVyvHz6mKOV-E3BwEOSzohbhMLU_7F8MlE.jKoqRr_loRy_vJzt3Ku9kJZLZumfJEB9zANZE-GOXOU&dib_tag=se&keywords=beauty+deals&qid=1747806073&rdc=1&sr=8-26&tag=nicdav09-20
