Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=cl7qA&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=REBR661H4HRRKBYDAGPK&pd_rd_wg=ddGju&pd_rd_r=b5e359ef-2ab5-4131-b913-f533f41f48c3&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
54% off,54%,$38.01 off,31.99,70.0,https://www.amazon.com/PUMA-Sneaker-White-Putty-Team-Regal-Red-Clyde/dp/B0CL7TB9Z4?pd_rd_w=71SK0&content-id=amzn1.sym.5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_p=5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_r=REBR661H4HRRKBYDAGPK&pd_rd_wg=ddGju&pd_rd_r=b5e359ef-2ab5-4131-b913-f533f41f48c3&pd_rd_i=B0CL7TB9Z4&tag=nicdav09-20
,60%,$7.49 off,4.99,12.48,https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cbZ_Zk-dee6zg_x8RM5YLsLcYj3vYtq4X4y_ukJtuUj8Zb4vdYHCeHcEUKWGeIFW4p-iEZLZdLGJJ87Dq8P9aTNKGgA-ZY16w-5r4qbj49Nf_6_zX_2o-x41yjcSPmEP5ut8eyBODO2rIoaR7qswgHxFCETJ_f9NvaNDY7ED6WHNwod7us_OehkHTt2bCZlvwbje4ImPq-HlfXfo4h_-LV5AQemfNHE3ctUTlyCcLzf3NvmtNglD7xzcCRWcKcp2NgsID49FL2Y7LB2HSmtfyeztZAYDCOF4qvX-eQ1cSuc.RVY70y81lnNJBK7xcImKKK-OURF7A1QxEA89u5u-8xQ&dib_tag=se&keywords=clearance+items&qid=1748095810&sr=8-6&tag=nicdav09-20
"Secret Outlast Antiperspirant Deodorant for Women, 72hr Sweat & Odor Protection, PH Balancing Minerals, Invisible Solid, Completely Clean Scent, Travel Size, 0.5 oz",50%,$1.99 off,1.99,3.98,https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B006MD1OHM/ref=sr_1_9?dib=eyJ2IjoiMSJ9.cbZ_Zk-dee6zg_x8RM5YLsLcYj3vYtq4X4y_ukJtuUj8Zb4vdYHCeHcEUKWGeIFW4p-iEZLZdLGJJ87Dq8P9aTNKGgA-ZY16w-5r4qbj49Nf_6_zX_2o-x41yjcSPmEP5ut8eyBODO2rIoaR7qswgHxFCETJ_f9NvaNDY7ED6WHNwod7us_OehkHTt2bCZlvwbje4ImPq-HlfXfo4h_-LV5AQemfNHE3ctUTlyCcLzf3NvmtNglD7xzcCRWcKcp2NgsID49FL2Y7LB2HSmtfyeztZAYDCOF4qvX-eQ1cSuc.RVY70y81lnNJBK7xcImKKK-OURF7A1QxEA89u5u-8xQ&dib_tag=se&keywords=clearance+items&qid=1748095810&sr=8-9&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-1&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-4&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-5&tag=nicdav09-20
"Throttled (Deluxe Edition) (Dirty Air, 1)",64%,$11.68 off,6.31,17.99,https://www.amazon.com/Throttled-Dirty-Air-Lauren-Asher/dp/1464227616/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-8&tag=nicdav09-20
"Flawless (Chestnut Springs, 1)",50%,$9.06 off,8.93,17.99,https://www.amazon.com/Flawless-Chestnut-Springs-Elsie-Silver/dp/1728297001/ref=sr_1_12?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-12&tag=nicdav09-20
I Am Watching You,54%,$8.66 off,7.29,15.95,https://www.amazon.com/Am-Watching-You-Teresa-Driscoll/dp/1542046599/ref=sr_1_14?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-14&tag=nicdav09-20
Red Rising (Red Rising Series Book 1),66%,$12.01 off,5.99,18.0,https://www.amazon.com/Red-Rising-Book-ebook/dp/B00CVS2J80/ref=sr_1_17?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-17&tag=nicdav09-20
Still Beating,56%,$10.08 off,7.91,17.99,https://www.amazon.com/Still-Beating-Jennifer-Hartmann/dp/1728290597/ref=sr_1_20?dib=eyJ2IjoiMSJ9.SdKc7hg-ssWkuZVFFx5Y8qPXnzIDsgoG4I4eAq5PxwIkpJJZ0FCkxq_gFUqk_1_V1yMuM2bQcbMG0nCBNAOqQ6Y6Km5VQ6oSbXM27EDElBjIPmyG8mgKxLPiAXoOX8DUJIo45AId6tXTymGFtsT5-JeKmHlMDLf5UG9rNUfL55GJfxAGkEs26C370YWLsz9bn1WQ2B-iJ4hR3XcOfDRkpDAarO5jnl-o3xNOVk8ggeWmGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6neZheKI_LthfSKsBGyunOZY.CC6_unVd3XbVJzXVkubQM3VQsWb5lcj6IVIclNQSCCs&dib_tag=se&keywords=books+deals&qid=1748095812&sr=8-20&tag=nicdav09-20
