Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=MiiJx&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=394MFHSQVRBS5CF71SV9&pd_rd_wg=qcmhw&pd_rd_r=2114bb54-b5a5-4edc-b17d-2e06d2e9b06e&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
Using Markdown: A Short Instruction Guide,70%,$7.00 off,2.99,9.99,https://www.amazon.com/Using-Markdown-Short-Instruction-Guide-ebook/dp/B07CBD68BF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.NogYVpq6LM6FebtYRk93SbOhJKYDZBComqmKE-NI8CXB_Bn7yC6fmlcHYzFOCsX-TZJoHClAhWkr7A2wLn1JiZT6cwfxAqOxRSl0hsdfytBDREsY5eDxrTrAzeo0btSQ1q089stQTSLYQ1ENErRMiPJQof2emBNxz9KTjl7VjxAqjxgUKa41ShcwKq8uEhP4I_xQWxY43HS6eAw8-uNdJOtTxGZskp1G43VfZsfexJU.gFwhrplUYGUDoq872dzA1tqzzL1PtE19aiaCO6EZWcQ&dib_tag=se&keywords=markdown&qid=1748110504&sr=8-8&tag=nicdav09-20
Best Seller,82%,$24.41 off,5.0,29.41,https://www.amazon.com/l-f-Monochromatic-Multi-Stick-Glistening/dp/B07MWTH3BY/ref=mp_s_a_1_13?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1kIyaHmol_eoCPzVXWb9QBijCTL9vMA4Ip6YNNNJ0L9mXeGeHmfNLcR41MNerY0RfHuyOhDs3NUrg_LwGhhRpK3kjG8U6MiaoHIMkH9gkdPcZdMFZg7LHOIPjTjvyI8Kcd01PezHfWmSDY5TfEQsdYH_KnXoSioB78oVDVzhswcb4JNTg8cWVWO_E9gWHse68aCZGikIcA0ZZl1mb7PGHdjcrpESbmnB5Ff8LHDkfAHzTacSVngZ9ehPqTIl0oejMJ1XtEU2G72CU_bCGFyNicM.3tr4WvSAc8xJjs5czN0pWJlPPmRhlQDQjidv1A_GK-0&dib_tag=se&keywords=sale+items&qid=1748110505&sr=8-13&tag=nicdav09-20
Magic Mixies - Magical Real Misting Gold Cauldron with 8 Inch Non-Electronic Plush Toy. Follow The Spell Book Add The Magic Ingredients. Who Will You Magically Create?,53%,$10.76 off,9.29,20.05,https://www.amazon.com/Magic-Mixies-Cauldron-Ingredients-Magically/dp/B0CQ5K6Y8Z/ref=sr_1_4?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-4&tag=nicdav09-20
"Mattel Minecraft Sniffer Action Figure, 3.25-inch Scale with Game-Accurate Sounds & Pixelated Design",74%,$16.00 off,5.59,21.59,https://www.amazon.com/Mattel-Minecraft-Sniffer-Game-Accurate-Pixelated/dp/B0CMJPQHPD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-8&tag=nicdav09-20
Cat Construction Little Machines 5 Pack - Great Cake Toppers,50%,$5.02 off,4.97,9.99,https://www.amazon.com/Cat-Construction-Little-Machines-Pack/dp/B07T14FKRR/ref=sr_1_14?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-14&tag=nicdav09-20
"Magnet Toys for 3 Year Old Boys & Girls, Montessori Toys for Toddlers Kids, Magnetic Blocks Building DIY Learning Educational Toys Gift- Starter Set",57%,$24.65 off,18.34,42.99,https://www.amazon.com/Montessori-Toddlers-Magnetic-Building-Educational/dp/B0BJC3QTSB/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-18&tag=nicdav09-20
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",71%,$14.20 off,5.79,19.99,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-19&tag=nicdav09-20
"Remote Control Car, RC Cars Toys for Ages 5-7, 2.4GHz 4WD Fast RC Car Kids Toys for Ages 8-13, Double Sided 360° Rotating Monster Truck Toys for Girls RC Truck Toy Cars for Boys",53%,$16.00 off,13.99,29.99,https://www.amazon.com/ORRENTE-Remote-Control-Rotating-Monster/dp/B0CXD1NRWQ/ref=sr_1_35?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5gMoUM_w48U1PMIcgwIJ2V2wbJpedbizRr4tvVx7vENsbeKS-Ow3XCM9Pqgj7fgrdWC5UO6xmENlYsz2c4SGLV8uv9_oO0LCR_XCFIocjCQKF4HJ4YOa9bSDH68k_DMfluTN1FBjaPgjbnC0qgy1161FHoFDOtoZCBNG-yr_U27j_eVW52K9nCZLVffXSyl73_PiHxsX0fg_hfo-SQv3t8jac5GES1TsCWEPQBlzOdbllzUZRhAZWb5ImDPElL00lvKjcyoVW5wOBQ97GEDevtk.U2Hy0QragmA4u2VoZmvLlEEvZJa9tpG77ewoscI8nCw&dib_tag=se&keywords=toys+deals&qid=1748110511&sr=8-35&tag=nicdav09-20
"Astercook Knife Set, 13 Pieces Kitchen Knives Set with Healthy Anti-Rust Coating, Dishwasher Safe, Stainless Steel Chef Knife Sets with 6 Blade Guards, Perfect Holiday Gifts for Kitchen",64%,$32.01 off,17.98,49.99,https://www.amazon.com/Astercook-Kitchen-Anti-Rust-Dishwasher-Stainless/dp/B0D9B96TBX/ref=sr_1_11?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlyzLFzqrDTU9BDjRjo19sKaSOGrsCEP_Fo7GDUqcPHaX93CnFeyFcRpoLPD6zoH8HQ4d8_PjNYjaEtnDBYMBCp8cpIF8b2_aUvf2zJKLOhZwTOWJ1O-mlqP3Qx5p_j9UJeqz2ITfrcipMo3nQ9G6eVSU7Ng0QWhXM3ACuZqd6QTJXBUdJoqoT36ELEgxnUH5j09eVOXJpsaJ9OAHmYFTQD8DCt0t-EBKiIWBobSNBURrZ8Juj_oTHrwSGbSWuZ1AxNc.uCsuBXwoLbDooi2dbNIxoqVxZPz0M9n5vVxz3rQVBAk&dib_tag=se&keywords=home+sale&qid=1748110513&sr=8-11&tag=nicdav09-20
"Yankee Candle MidSummer's Night Scented, Classic Large Single Wick Jar Candle, 22oz with Over 110 Hours of Burn Time, Ideal for Dinner Parties, Relaxing Saturdays, and Special Occasions",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Midsummers-Night/dp/B000ORX6WI/ref=sr_1_24?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlyzLFzqrDTU9BDjRjo19sKaSOGrsCEP_Fo7GDUqcPHaX93CnFeyFcRpoLPD6zoH8HQ4d8_PjNYjaEtnDBYMBCp8cpIF8b2_aUvf2zJKLOhZwTOWJ1O-mlqP3Qx5p_j9UJeqz2ITfrcipMo3nQ9G6eVSU7Ng0QWhXM3ACuZqd6QTJXBUdJoqoT36ELEgxnUH5j09eVOXJpsaJ9OAHmYFTQD8DCt0t-EBKiIWBobSNBURrZ8Juj_oTHrwSGbSWuZ1AxNc.uCsuBXwoLbDooi2dbNIxoqVxZPz0M9n5vVxz3rQVBAk&dib_tag=se&keywords=home+sale&qid=1748110513&sr=8-24&tag=nicdav09-20
"Yankee Candle Home Sweet Home Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Ideal for Fall, Outdoors, Home and Christmas Decorations",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Home-Sweet/dp/B000WUFVR0/ref=sr_1_38?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlyzLFzqrDTU9BDjRjo19sKaSOGrsCEP_Fo7GDUqcPHaX93CnFeyFcRpoLPD6zoH8HQ4d8_PjNYjaEtnDBYMBCp8cpIF8b2_aUvf2zJKLOhZwTOWJ1O-mlqP3Qx5p_j9UJeqz2ITfrcipMo3nQ9G6eVSU7Ng0QWhXM3ACuZqd6QTJXBUdJoqoT36ELEgxnUH5j09eVOXJpsaJ9OAHmYFTQD8DCt0t-EBKiIWBobSNBURrZ8Juj_oTHrwSGbSWuZ1AxNc.uCsuBXwoLbDooi2dbNIxoqVxZPz0M9n5vVxz3rQVBAk&dib_tag=se&keywords=home+sale&qid=1748110513&sr=8-38&tag=nicdav09-20
"Yankee Candle Pink Sands Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Perfect for Creating Relaxing Atmosphere",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Pink-Sands/dp/B004G9C0SQ/ref=sr_1_41?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlyzLFzqrDTU9BDjRjo19sKaSOGrsCEP_Fo7GDUqcPHaX93CnFeyFcRpoLPD6zoH8HQ4d8_PjNYjaEtnDBYMBCp8cpIF8b2_aUvf2zJKLOhZwTOWJ1O-mlqP3Qx5p_j9UJeqz2ITfrcipMo3nQ9G6eVSU7Ng0QWhXM3ACuZqd6QTJXBUdJoqoT36ELEgxnUH5j09eVOXJpsaJ9OAHmYFTQD8DCt0t-EBKiIWBobSNBURrZ8Juj_oTHrwSGbSWuZ1AxNc.uCsuBXwoLbDooi2dbNIxoqVxZPz0M9n5vVxz3rQVBAk&dib_tag=se&keywords=home+sale&qid=1748110513&sr=8-41&tag=nicdav09-20
,84%,$26.49 off,4.86,31.35,https://www.amazon.com/l-f-Monochromatic-Luxuriously-Blendable-Sparkling/dp/B07MWSRJ89/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3tQR2ladwGqDRh71WfOfwgGV23_4OX1DHUGqNRfhWDFMyDBEWqk6G_nlfluN3NPS1ZUB0Yp2ByvvVM2Ac98gpoLvCh80b5nYb-IlPK26W78sRx7xIkUrepkutgbkDihUXVKnJXECejEbS8wFn9wJzXMhl8G4F8sQtm4VyLCehQAAQoQIcQO-gdkXmwJVowpbbKHP1j-HIZQrWZrCYszGnbdwrL_WCkuSoCwcDGi-Os8HCOT0byxsR7dICSDU5yUSbZyc6W23vmZAJBHdMx_-jVSlHhDDVg8V6B_n4EL_5oU.mzTCoEJx9rsVeOcUum26IGERI1MYUMbQyUglme79vfA&dib_tag=se&keywords=flash+sale&qid=1748110516&sr=8-6&tag=nicdav09-20
"Celestia Decora Fashion Girlz 11"" Doll Stickers & Endless Style Fun for Creative Play",54%,$5.37 off,4.56,9.93,https://www.amazon.com/Celestia-Fashion-Stickers-Endless-Creative/dp/B0D3FP3P2X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.f0359KpjnErJcSGcPCCM40m-UVNWA_xZs3BruVHQfp6RBk-sDczQhnMx55yJE32A-boxkcykyM01kh8hqXpRXVqoC8Eo315DW5ZMLZSCgjCGWfCYk1jHGfM-CMc3GB_yW2yQ-tSoMm21wV5_n9-KcVe5nePYg6MVDNRoco7bh0K-NWw9sLp_Vnuquq0fO0QxSrdUcokufXt04MzMVWSQkYitdzj5Q9eH03NnUpUMxQkXcQHp_IC5Zrsh0yVr79s4xsRTtpq4q35bbT2HtdxBKlsg8KOead8GhgchpzYCoiY.bPnEd58f4ghUvdOmbMbJuF0i7QqQWsEmu8DsacYL10Q&dib_tag=se&keywords=toys+sale&qid=1748110518&sr=8-5&tag=nicdav09-20
"Glow In The Dark Advent Calendar 2024 – Christmas Countdown Calendar with 24 Science Activities, Experiments & Animal Figures | Fun & Educational Kids Advent Calendar",51%,$3.94 off,3.65,7.59,https://www.amazon.com/Blue-Marble-Glow-Advent-Calendar/dp/B0D33YH5ZK/ref=sr_1_12?dib=eyJ2IjoiMSJ9.f0359KpjnErJcSGcPCCM40m-UVNWA_xZs3BruVHQfp6RBk-sDczQhnMx55yJE32A-boxkcykyM01kh8hqXpRXVqoC8Eo315DW5ZMLZSCgjCGWfCYk1jHGfM-CMc3GB_yW2yQ-tSoMm21wV5_n9-KcVe5nePYg6MVDNRoco7bh0K-NWw9sLp_Vnuquq0fO0QxSrdUcokufXt04MzMVWSQkYitdzj5Q9eH03NnUpUMxQkXcQHp_IC5Zrsh0yVr79s4xsRTtpq4q35bbT2HtdxBKlsg8KOead8GhgchpzYCoiY.bPnEd58f4ghUvdOmbMbJuF0i7QqQWsEmu8DsacYL10Q&dib_tag=se&keywords=toys+sale&qid=1748110518&sr=8-12&tag=nicdav09-20
