Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=ZPzb9&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=CM7WF49RXFWBN8JTW2KZ&pd_rd_wg=ZjLhn&pd_rd_r=21f0b7fc-2854-47d5-b520-20e8c97f721b&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
54% off,54%,$38.01 off,31.99,70.0,https://www.amazon.com/PUMA-Sneaker-White-Putty-Team-Regal-Red-Clyde/dp/B0CL7TB9Z4?pd_rd_w=jlkz6&content-id=amzn1.sym.5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_p=5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_r=CM7WF49RXFWBN8JTW2KZ&pd_rd_wg=ZjLhn&pd_rd_r=21f0b7fc-2854-47d5-b520-20e8c97f721b&pd_rd_i=B0CL7TB9Z4&tag=nicdav09-20
55% off,54%,$32.95 off,27.0,59.95,https://www.amazon.com/Childrens-Place-Solid-Sleeve-T-Shirt/dp/B0823DC5MS?pd_rd_w=RuShb&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=M2G983JZJAVYRV78KAPQ&pd_rd_wg=PxQXY&pd_rd_r=e6c8d938-1960-48b6-bea7-3f87ffd6d315&pd_rd_i=B0823DC5MS&ref_=MDW_SummerFaves_LP_B0823DC5MS&tag=nicdav09-20
"Smart Watch for Men Women (Dial/Answer Calls), 1.95""HD Curved Screen Smartwatch, Heart Rate/Sleep Monitor Fitness Watches, 112+ Sports Modes Activity Trackers, IP68 Waterproof Watch for Android iOS",84%,$110.00 off,19.99,129.99,https://www.amazon.com/Smartwatch-Monitor-Activity-Trackers-Waterproof/dp/B0DS1Z88HB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.KJtx0rSbpdFRhbu_Y1OMSqKq3FNaQoawbtLfrVdbdL37VmaE64AuNJDL29fdAX5csmS_O-rDEQdztJ1t9AU9Mtm3cvbBXV9Zec-8weFSs24yaBasLkqCzNLwNa3XS-BRTiUykJUUL5TkFkqcjUONBR7c1irhGhSxYAbzA7lgnTma0lz_5AA4RUgJRawmCUfgQhHFovGarLenRnEo-lbDf63Zk_mOsyEXUmDi5hxYN0ehpXK3njVDhowsmwzkLAG6hy_hbZO3rhfUx9iDcoGUfNpf4frOC3oe2agKhe0Cjmg.CBC-cibsAZJDotSQvYzqZi6wZ3okRLYuZeby6wzy2T8&dib_tag=se&keywords=limited+time+offer&qid=1748084955&sr=8-1&tag=nicdav09-20
Carbon impact,83%,$108.00 off,21.99,129.99,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Waterproof-Earphones/dp/B0F1XXWV6D/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KJtx0rSbpdFRhbu_Y1OMSqKq3FNaQoawbtLfrVdbdL37VmaE64AuNJDL29fdAX5csmS_O-rDEQdztJ1t9AU9Mtm3cvbBXV9Zec-8weFSs24yaBasLkqCzNLwNa3XS-BRTiUykJUUL5TkFkqcjUONBR7c1irhGhSxYAbzA7lgnTma0lz_5AA4RUgJRawmCUfgQhHFovGarLenRnEo-lbDf63Zk_mOsyEXUmDi5hxYN0ehpXK3njVDhowsmwzkLAG6hy_hbZO3rhfUx9iDcoGUfNpf4frOC3oe2agKhe0Cjmg.CBC-cibsAZJDotSQvYzqZi6wZ3okRLYuZeby6wzy2T8&dib_tag=se&keywords=limited+time+offer&qid=1748084955&sr=8-9&tag=nicdav09-20
"2025 AI Language Translator Earbuds Real Time, OWS 3-in-1 Translation Earbuds 144 Languages & Accents and Long Battery Life, Ideal for Travel and Business (Black)",60%,$60.00 off,39.99,99.99,https://www.amazon.com/Uear-Language-Translator-Translation-Languages/dp/B0F6TT7WDV/ref=sr_1_25?dib=eyJ2IjoiMSJ9.KJtx0rSbpdFRhbu_Y1OMSqKq3FNaQoawbtLfrVdbdL37VmaE64AuNJDL29fdAX5csmS_O-rDEQdztJ1t9AU9Mtm3cvbBXV9Zec-8weFSs24yaBasLkqCzNLwNa3XS-BRTiUykJUUL5TkFkqcjUONBR7c1irhGhSxYAbzA7lgnTma0lz_5AA4RUgJRawmCUfgQhHFovGarLenRnEo-lbDf63Zk_mOsyEXUmDi5hxYN0ehpXK3njVDhowsmwzkLAG6hy_hbZO3rhfUx9iDcoGUfNpf4frOC3oe2agKhe0Cjmg.CBC-cibsAZJDotSQvYzqZi6wZ3okRLYuZeby6wzy2T8&dib_tag=se&keywords=limited+time+offer&qid=1748084955&sr=8-25&tag=nicdav09-20
,66%,$32.00 off,16.0,48.0,https://www.amazon.com/Bali-Womens-Comfort-Revolution-White/dp/B00550PNLQ/ref=sr_1_28?dib=eyJ2IjoiMSJ9.KJtx0rSbpdFRhbu_Y1OMSqKq3FNaQoawbtLfrVdbdL37VmaE64AuNJDL29fdAX5csmS_O-rDEQdztJ1t9AU9Mtm3cvbBXV9Zec-8weFSs24yaBasLkqCzNLwNa3XS-BRTiUykJUUL5TkFkqcjUONBR7c1irhGhSxYAbzA7lgnTma0lz_5AA4RUgJRawmCUfgQhHFovGarLenRnEo-lbDf63Zk_mOsyEXUmDi5hxYN0ehpXK3njVDhowsmwzkLAG6hy_hbZO3rhfUx9iDcoGUfNpf4frOC3oe2agKhe0Cjmg.CBC-cibsAZJDotSQvYzqZi6wZ3okRLYuZeby6wzy2T8&dib_tag=se&keywords=limited+time+offer&qid=1748084955&sr=8-28&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO74rnBTVh5sn3h-tu3ddSj_JEda2mfRp5RrV9iHY1MY3BDGcudubJG4FnMJSiazFvv2IjiLq1Vov2UAp1HOV-YTKoeq76kA2sKoGwxHu6_f_hPUM4p69gSbpCInE7Q9DyxfQtoPy3rGov6ZatG58wA-X4XDHdpThepIrfmB3xuHX2hWqcbhxgK0AniNfHRlRkC6mGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6nW_UXdgYz-weWqVrZjXM47Q.TK0CtV-cf_1svdUjPLZXuBtdT5UcOTtyl8sIt00aitw&dib_tag=se&keywords=books+deals&qid=1748084961&sr=8-1&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_3?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO74rnBTVh5sn3h-tu3ddSj_JEda2mfRp5RrV9iHY1MY3BDGcudubJG4FnMJSiazFvv2IjiLq1Vov2UAp1HOV-YTKoeq76kA2sKoGwxHu6_f_hPUM4p69gSbpCInE7Q9DyxfQtoPy3rGov6ZatG58wA-X4XDHdpThepIrfmB3xuHX2hWqcbhxgK0AniNfHRlRkC6mGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6nW_UXdgYz-weWqVrZjXM47Q.TK0CtV-cf_1svdUjPLZXuBtdT5UcOTtyl8sIt00aitw&dib_tag=se&keywords=books+deals&qid=1748084961&sr=8-3&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_5?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO74rnBTVh5sn3h-tu3ddSj_JEda2mfRp5RrV9iHY1MY3BDGcudubJG4FnMJSiazFvv2IjiLq1Vov2UAp1HOV-YTKoeq76kA2sKoGwxHu6_f_hPUM4p69gSbpCInE7Q9DyxfQtoPy3rGov6ZatG58wA-X4XDHdpThepIrfmB3xuHX2hWqcbhxgK0AniNfHRlRkC6mGkvP0u7R3oM1eDNF724ugc2Rhe6-Tm89XQN--sR6nW_UXdgYz-weWqVrZjXM47Q.TK0CtV-cf_1svdUjPLZXuBtdT5UcOTtyl8sIt00aitw&dib_tag=se&keywords=books+deals&qid=1748084961&sr=8-5&tag=nicdav09-20
