Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=lRBXk&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=DKDVXBGEZH85TJ6GPWAK&pd_rd_wg=BXwFE&pd_rd_r=05bc421a-cbb8-40e1-933b-9ef6b0e46260&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
59% off,58%,$17.55 off,12.4,29.95,https://www.amazon.com/Childrens-Place-Chino-Stretch-Pants/dp/B0861WPLYZ?pd_rd_w=NiPsH&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=4ZFS89WT784GYQQTACF0&pd_rd_wg=aj8Jw&pd_rd_r=0eb2b5de-02ca-43bc-bc31-71a5aed7246d&pd_rd_i=B0861WPLYZ&ref_=MDW_SummerFaves_LP_B0861WPLYZ&tag=nicdav09-20
Magic Mixies - Magical Real Misting Gold Cauldron with 8 Inch Non-Electronic Plush Toy. Follow The Spell Book Add The Magic Ingredients. Who Will You Magically Create?,53%,$10.76 off,9.29,20.05,https://www.amazon.com/Magic-Mixies-Cauldron-Ingredients-Magically/dp/B0CQ5K6Y8Z/ref=sr_1_3?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-3&tag=nicdav09-20
"Deluxe Kween of Rawr 11"" Mega Size Figure with Deluxe Finishes and Cool Dinosaur Shaker Fillings, 250% Larger Than Regular Sized Kweenie Figs, Includes Display Case & Collector Card",82%,$22.28 off,4.71,26.99,https://www.amazon.com/XOX-KWEENIE-Finishes-Dinosaur-Collector/dp/B0CPMG2HNN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-10&tag=nicdav09-20
"Magnet Toys for 3 Year Old Boys & Girls, Montessori Toys for Toddlers Kids, Magnetic Blocks Building DIY Learning Educational Toys Gift- Starter Set",57%,$24.65 off,18.34,42.99,https://www.amazon.com/Montessori-Toddlers-Magnetic-Building-Educational/dp/B0BJC3QTSB/ref=sr_1_19?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-19&tag=nicdav09-20
"Coodoo Upgraded Magnetic Blocks Tough Tiles STEM Toys for 3+ Year Old Boys and Girls Learning by Playing Games for Toddlers Kids, Compatible with Major Brands Building Blocks - Starter Set",50%,$12.58 off,12.41,24.99,https://www.amazon.com/Upgraded-Magnetic-Building-Learning-Compatible/dp/B08R3TW6PD/ref=sr_1_20?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-20&tag=nicdav09-20
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",71%,$14.20 off,5.79,19.99,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=sr_1_22?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-22&tag=nicdav09-20
"Mattel Minecraft Sniffer Action Figure, 3.25-inch Scale with Game-Accurate Sounds & Pixelated Design",74%,$16.00 off,5.59,21.59,https://www.amazon.com/Mattel-Minecraft-Sniffer-Game-Accurate-Pixelated/dp/B0CMJPQHPD/ref=sr_1_23?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwIG69zbLM42hhx3ZK08UkCpEm19BAoJYcaxqi0re0osi9MnT7DQCFD6QUwIhW61RmYye_7Roj8I1b-sbqHuf8Kez-IRZmZ1M91CR452OCJacDa58VfC13c1-7dvNfNkNEa1Va1EQbmzbXeLJftB6V6eh7Xn4nSQLZnhX5s6jWujMffvStPf2CwX-HYd58tJnwkCS0gBVgl1Ou4V7cjKTLQ7tZQn_Xlggnc6mnls7ZmqFNOikRfpv-ySq-pMGevAsF4.Ah3xk_GvLLJRtRMs7zvPKIEmWmm4JKqp38xuXQSqtxQ&dib_tag=se&keywords=toys+deals&qid=1748018668&sr=8-23&tag=nicdav09-20
Safer chemicals,68%,$22.00 off,9.99,31.99,https://www.amazon.com/Ophanie-Fluffy-Non-Slip-Bedroom-Nursery/dp/B0852WLH7M/ref=sr_1_34?dib=eyJ2IjoiMSJ9.NuZmfhjziyzmO0D3FzB-OL85gMrXUXhu4701EzH2fyxuv4WzoKMQIu3rS_Blr3Xt7vydye7rf4GlBUytIUsTNi092NEVyCpJVcp6MPSSc0coz7igsRYYWa4_c2rkGkmDoDo3P3-GZbgQBe3Kl5WXuIc9bIuzK7b6AXcCK03QnNSJEHpAq5CezMbl8ETj479SR3ofzwshBVF35GPaVQq9SxKzVlxiWic7-RIxGNTK5uAlrmp1HlUpTxm67BVnRdIQQtTrjiMebyrAJXe3EfvQNoySALFutjmgmtHg1FI7t4s.JXOR-MCv3zX1gQwhSQVQTOX8uvHy8U_HpSxjSR046w0&dib_tag=se&keywords=bargain+finds&qid=1748018673&sr=8-34&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_68SyY1RflWWL7xAodwU5zL3BTItzwXqnKQXQqFV_WnR45BYS0iY36_uwZHo_Pw2igkHUgJvitPaUqZQlQ68u1O4Fve_0LZmPXW8ntltpCgYo8P7A0-XdmvATbLmCqhHeS7qx_PJQzal6M20d5wGEbH93Qxlad90ZFHqc7Bwzg9Ql9FjiMJoxEe2FBk4d4DedSR7m86OOCbghcSlwa9FvqPXe4v1wt0l24Ds9NbrA0vdzK-pUwygyYrcafB8zuSFjI.uMZ3X53iBCQm6NJh_CLDkRee4nQowcs1ZMqR1LUuzsM&dib_tag=se&keywords=books+sale&qid=1748018675&sr=8-1&tag=nicdav09-20
