Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=uN148&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=Q0PE6J4TCJJA7T0X35EJ&pd_rd_wg=WEWbu&pd_rd_r=06a95f35-4099-4091-be46-9061e5b8d4b5&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
55% off,54%,$120.99 off,99.0,219.99,https://www.amazon.com/CHEF-iQ-Thermometer-Ultra-Thin-Monitoring/dp/B0C7JNJW2N?pd_rd_w=uN148&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=Q0PE6J4TCJJA7T0X35EJ&pd_rd_wg=WEWbu&pd_rd_r=06a95f35-4099-4091-be46-9061e5b8d4b5&pd_rd_i=B0C7JNJW2N&tag=nicdav09-20
,84%,$26.39 off,4.84,31.23,https://www.amazon.com/l-f-Monochromatic-Luxuriously-Blendable-Sparkling/dp/B07MWSRJ89/ref=sr_1_7?dib=eyJ2IjoiMSJ9.sGsNljk0A9c-zIZH1sbgrJuJ0hZuuEkL9BHst0Gp4U6mB3oa7_NgJvJOgEOJPg8RN6JqS32Jud-LnrFfw_Jy8_aUn9Faorwj8mt5D3bgsQ6gUBwmomSsLOfmREXk1Kh4sz8GSetuvzG0pLlJ6El4cMkuKwcMnM5Akn6U4S1xefB6VPO844orhYCj0cqnUqd37IDDKd6bL6M09XmhKZOUR4XYhM2F6Fut2pDKiz0oLjNmZ8O-1QMHAUWKj6SaEUFRzU3kSs9sDFdgk5v7K3jwQxY6hV4_KwgkQGBVgpWrotU.Hx5VIG3v5g6OfVO2w0rcgagn3F5x_Daq8zLmAqQ1uW0&dib_tag=se&keywords=flash+sale&qid=1747673163&sr=8-7&tag=nicdav09-20
Sustainability features,83%,$108.00 off,21.99,129.99,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Waterproof-Earphones/dp/B0F1XXWV6D/ref=mp_s_a_1_8_maf_1?dib=eyJ2IjoiMSJ9.rpIb2atSu4S4V8JmoTnM20JAhhJwLujjeZYrSpDOwADw90BhuQGCGTRNHc0r2AiSHRmHxLzYHiZwT1u4qvhXMCBicvnwbP6SUraJJ6eZYsmhsncTJMs-lzCe9ZmJQNFAHQHNHNQJzdcGEAehcv5VQRHyzet9eqjizh9SJ_WsB5ocf2uDzEnQDn_a_M2MAXAsa-a9VqILe9iVdRcvDUl49g.gozJx1E05w_ipNOpnhWzZ6UiGLoSE5b1WczTRPTvM9k&dib_tag=se&keywords=limited+time+offer&qid=1747673167&sr=8-8&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_5?dib=eyJ2IjoiMSJ9.dwDhaRl4dG0D955DmsZvALz4eUZzZfl0PHUdU7E3skBizLmFKXJZSmwkpUYzo0mLBYXlKuuSOBshfQC09axlAAH3mO_-2vv8kaPkiv3OEbGzVMK2hveR6nN4din_5va-cfFkJp_2V7mOg3TZ4d4jki2KMFZ_8kMXF-J5rmrpJ_VxR0nwJmxZoBKGPug4lTjyO0GoxMYJD5wm9GWm-LnLRSUnlBvOoUnZ02A-SQh193TRqUufRrYmwdkWLgpSUcVM4b3D68hUlhif-PqTIh3_qRhb3XpYl2yDey2HsMeFRqw.8s74U1ZlYHTz5tMvjfJW0LjdNHP8Hwy05oAw_sAGg3M&dib_tag=se&keywords=beauty+deals&qid=1747673169&rdc=1&sr=8-5&tag=nicdav09-20
"Natural Shea Lip Balm- Birthday Cake, All-Day Moisture Lip Care Products, 0.14 oz",86%,$22.67 off,3.69,26.36,https://www.amazon.com/eos-Natural-Birthday-Moisture-Products/dp/B0B2TKJVDH/ref=sr_1_23?dib=eyJ2IjoiMSJ9.dwDhaRl4dG0D955DmsZvALz4eUZzZfl0PHUdU7E3skBizLmFKXJZSmwkpUYzo0mLBYXlKuuSOBshfQC09axlAAH3mO_-2vv8kaPkiv3OEbGzVMK2hveR6nN4din_5va-cfFkJp_2V7mOg3TZ4d4jki2KMFZ_8kMXF-J5rmrpJ_VxR0nwJmxZoBKGPug4lTjyO0GoxMYJD5wm9GWm-LnLRSUnlBvOoUnZ02A-SQh193TRqUufRrYmwdkWLgpSUcVM4b3D68hUlhif-PqTIh3_qRhb3XpYl2yDey2HsMeFRqw.8s74U1ZlYHTz5tMvjfJW0LjdNHP8Hwy05oAw_sAGg3M&dib_tag=se&keywords=beauty+deals&qid=1747673169&rdc=1&sr=8-23&tag=nicdav09-20
Carbon impact,67%,$48.85 off,22.99,71.84,https://www.amazon.com/KAHI-Wrinkle-Hydrating-Moisture-Moisturizer/dp/B0DDC3QGJL/ref=sr_1_25?dib=eyJ2IjoiMSJ9.dwDhaRl4dG0D955DmsZvALz4eUZzZfl0PHUdU7E3skBizLmFKXJZSmwkpUYzo0mLBYXlKuuSOBshfQC09axlAAH3mO_-2vv8kaPkiv3OEbGzVMK2hveR6nN4din_5va-cfFkJp_2V7mOg3TZ4d4jki2KMFZ_8kMXF-J5rmrpJ_VxR0nwJmxZoBKGPug4lTjyO0GoxMYJD5wm9GWm-LnLRSUnlBvOoUnZ02A-SQh193TRqUufRrYmwdkWLgpSUcVM4b3D68hUlhif-PqTIh3_qRhb3XpYl2yDey2HsMeFRqw.8s74U1ZlYHTz5tMvjfJW0LjdNHP8Hwy05oAw_sAGg3M&dib_tag=se&keywords=beauty+deals&qid=1747673169&sr=8-25&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_26?dib=eyJ2IjoiMSJ9.dwDhaRl4dG0D955DmsZvALz4eUZzZfl0PHUdU7E3skBizLmFKXJZSmwkpUYzo0mLBYXlKuuSOBshfQC09axlAAH3mO_-2vv8kaPkiv3OEbGzVMK2hveR6nN4din_5va-cfFkJp_2V7mOg3TZ4d4jki2KMFZ_8kMXF-J5rmrpJ_VxR0nwJmxZoBKGPug4lTjyO0GoxMYJD5wm9GWm-LnLRSUnlBvOoUnZ02A-SQh193TRqUufRrYmwdkWLgpSUcVM4b3D68hUlhif-PqTIh3_qRhb3XpYl2yDey2HsMeFRqw.8s74U1ZlYHTz5tMvjfJW0LjdNHP8Hwy05oAw_sAGg3M&dib_tag=se&keywords=beauty+deals&qid=1747673169&sr=8-26&tag=nicdav09-20
"Yerba Mate Wake Up Eye Gel - Yerba Mate, Hyaluronic Acid and Caffeine to Hydrate, Minimize Puffiness and Swelling - Skincare for Face",50%,$5.98 off,5.98,11.96,https://www.amazon.com/Good-Molecules-Formulated-Revitalize-Fragrance/dp/B091NJQ29P/ref=sr_1_27?dib=eyJ2IjoiMSJ9.dwDhaRl4dG0D955DmsZvALz4eUZzZfl0PHUdU7E3skBizLmFKXJZSmwkpUYzo0mLBYXlKuuSOBshfQC09axlAAH3mO_-2vv8kaPkiv3OEbGzVMK2hveR6nN4din_5va-cfFkJp_2V7mOg3TZ4d4jki2KMFZ_8kMXF-J5rmrpJ_VxR0nwJmxZoBKGPug4lTjyO0GoxMYJD5wm9GWm-LnLRSUnlBvOoUnZ02A-SQh193TRqUufRrYmwdkWLgpSUcVM4b3D68hUlhif-PqTIh3_qRhb3XpYl2yDey2HsMeFRqw.8s74U1ZlYHTz5tMvjfJW0LjdNHP8Hwy05oAw_sAGg3M&dib_tag=se&keywords=beauty+deals&qid=1747673169&sr=8-27&tag=nicdav09-20
Best Seller,64%,$11.60 off,6.39,17.99,https://www.amazon.com/Gayhay-High-Waisted-Leggings-Women/dp/B082QZRY8G/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.77rYABuBklyaHX6mAj_NNCyB3YMSCv9s2DyQmxi9gxgXWXJOtMI8fAxzLOO5Le7IsnmrI3YSRr_Cc_XZ1udYo8eqamJue3k0NKEdh1SB4HtRkP8M7HDT-p8fivJrkSIOXydykn8qKtbuMlBpDDmLuwvE2qBdSQ41HUuoOs7RpBmMMgopNZJOF2RXqXju4hXvtMmRXgA2_tcqxs27v8R-3ZOt5P3gbNwmzENgW2SD2mawZ1jePc4_DPAL0k2h-uPWO3vjN914pP7bniXRMXEbUaUXIQACb2_IZ4S8WJYlub0.jgHYT-V0zJMG1iXnJXceM7S-Dp-0q_qFxVM50S5954U&dib_tag=se&keywords=clothing+sale&qid=1747673172&sr=8-7&tag=nicdav09-20
