Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
52% off,52%,$11.37 off,10.43,21.8,https://www.amazon.com/Amazon-Essentials-Hooded-Sweatshirt-Heather/dp/B075JW7CCB?pd_rd_w=87yW5&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=MHWNDYA6DD4K0SHS1832&pd_rd_wg=eZOOr&pd_rd_r=58713397-a3a8-4770-96af-c7626838157a&pd_rd_i=B075JW7CCB&tag=nicdav09-20
50% off,50%,$17.27 off,17.23,34.5,https://www.amazon.com/Lucky-Brand-Venice-Burnout-American/dp/B07998V8YM?pd_rd_w=aOIXV&content-id=amzn1.sym.9533ab59-1513-4ecb-a243-cc6e62682629&pf_rd_p=9533ab59-1513-4ecb-a243-cc6e62682629&pf_rd_r=MHWNDYA6DD4K0SHS1832&pd_rd_wg=eZOOr&pd_rd_r=58713397-a3a8-4770-96af-c7626838157a&pd_rd_i=B07998V8YM&tag=nicdav09-20
,84%,$26.39 off,4.84,31.23,https://www.amazon.com/l-f-Monochromatic-Luxuriously-Blendable-Sparkling/dp/B07MWSRJ89/ref=sr_1_6?dib=eyJ2IjoiMSJ9.sGsNljk0A9c-zIZH1sbgrJuJ0hZuuEkL9BHst0Gp4U6mB3oa7_NgJvJOgEOJPg8RqK0QxR2uZIhtGRH6T_LRedBOxUCgq4az5lgEEuPcpwX6i8w3krGeBekSgwTG1WOomeeAaphGqtbbcNyK3CVPKohYQQreHX552tkHx6EXin-oSaAWhQt1SI82Vew4hLuwdYZOnwBZ5fwofKDYD2FmMpsZdlP2zFf81wM7FDb7eWwTI7Y3Mdl0fwBvLUuNq14R7AXRCHFgZDpS_T4RFqXSx1VQklBzMaGcnphUo6VfzoU.4T8nsKHxwX6G4U3TPRMscPLx9-Oq_P1o0dmdeQ0BOjM&dib_tag=se&keywords=flash+sale&qid=1747717983&sr=8-6&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&rdc=1&sr=8-1&tag=nicdav09-20
LAURA GELLER NEW YORK Award-Winning Baked Balance-n-Brighten Color Correcting Powder Foundation - Fair - Buildable Light to Medium Coverage - Demi-Matte Natural Finish,68%,$38.23 off,17.99,56.22,https://aax-us-iad.amazon.com/x/c/JOBAiKbYwvMBDUKEy0xemycAAAGW7BwV6QEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICAsgsMI/https://www.amazon.com/dp/B000IEMGGE?pd_rd_i=B000IEMGGE&pf_rd_p=8aea4788-5372-43c5-bde7-3d239eb02a51&pf_rd_r=KCPCCP0F4CPMBAE2Z5PX&pd_rd_wg=NTbs7&pd_rd_w=wd7xz&pd_rd_r=69312e27-da3a-4f72-9683-59104a35fc83&tag=nicdav09-20
"Squeeze Me Lip Balm, Moisturizing Lip Balm For A Sheer Tint Of Color, Infused With Hyaluronic Acid, Vegan & Cruelty-free, Strawberry",79%,$15.05 off,4.0,19.05,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=sr_1_10?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&sr=8-10&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_14?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&sr=8-14&tag=nicdav09-20
"Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",65%,$35.29 off,19.0,54.29,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=sr_1_23?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&sr=8-23&tag=nicdav09-20
"Lip Liner Stay-N Peel Off Lip Stain — Long Lasting Matte Lip Tattoo Transfer Proof Lipstain Infused with Hyaluronic Acid & Vitamin E for All Skin Types — Vegan & Cruelty-Free, P-inked",88%,$88.00 off,12.0,100.0,https://www.amazon.com/Sacheu-Lip-Liner-Stay-N-Hyaluronic/dp/B0BVPNQW1C/ref=sr_1_32?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&sr=8-32&tag=nicdav09-20
Carbon impact,85%,$135.14 off,22.0,157.14,https://www.amazon.com/Wonderskin-Blading-Transfer-Waterproof-Whimsical/dp/B0B9YHX8DX/ref=sr_1_46?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2G2LvqwdJmZysTVlwU7C32PkN-1MnU21bB6iF8poVkj9DDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcuqNiWFrfOogfwL14Y69SKEei50fIgaRBTliMBDIGI9wnUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HJAyJjDNbn0oORGl7kkgtfc.Dxdu1rfDEVlk_ZOcEPCQeHTg40sz930EBwd7hDfnxto&dib_tag=se&keywords=beauty+sale&qid=1747717985&rdc=1&sr=8-46&tag=nicdav09-20
