Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=B5kit&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=EPTJHZPR9ZY8ATMS7XBZ&pd_rd_wg=4AqJh&pd_rd_r=1ae34972-338d-47b5-8150-5176f6d8ed3b&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
,50%,$1.89 off,1.89,3.78,https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B006MD1OHM/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1j3pZHBeAwyxDgrTc3PM_CJNlCPDhGiKbDBb7JNsepC2-1n8D08RCg0BLLvNQJMSme7yHTI-7SkvK8k2eYrh99L0q3gJ_oX2Fhp5KV5RtRAF3oq-AVqjsfC_DCzMNws9tsqOKhoXn3DUu8omh0sKjCKa5UDWCskKl4iAvpp5vwo_ZvqA2Yw1EfHC5bzSfFvE1g.DhQQxkSnVoF70x6R4LPDC981XzCYv9h2V4MnwDbn6-g&dib_tag=se&keywords=clearance+items&qid=1748069029&sr=8-9&tag=nicdav09-20
Best Seller,60%,$7.49 off,4.99,12.48,https://www.amazon.com/essence-Princess-Effect-Mascara-Cruelty/dp/B00T0C9XRK/ref=mp_s_a_1_11?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1j3pZHBeAwyxDgrTc3PM_CJNlCPDhGiKbDBb7JNsepC2-1n8D08RCg0BLLvNQJMSme7yHTI-7SkvK8k2eYrh99L0q3gJ_oX2Fhp5KV5RtRAF3oq-AVqjsfC_DCzMNws9tsqOKhoXn3DUu8omh0sKjCKa5UDWCskKl4iAvpp5vwo_ZvqA2Yw1EfHC5bzSfFvE1g.DhQQxkSnVoF70x6R4LPDC981XzCYv9h2V4MnwDbn6-g&dib_tag=se&keywords=clearance+items&qid=1748069029&sr=8-11&tag=nicdav09-20
"Cash Vault Money Savings Box, Piggy Bank for Adults Kids, Coin Bank for Boys and Girls, 10000 Savings Challenge Box, Wooden Cash Savings Box with 10 Money Target",50%,$5.00 off,4.99,9.99,https://www.amazon.com/Savings-Adults-Challenge-Wooden-Target/dp/B0DG99JXMN/ref=sr_1_1?dib=eyJ2IjoiMSJ9.c58DX5p6U53hivIM138p_bz6Bp7dsY-zfKWpEDmp8O0UF4D1cBP0QUZFwGnitnXgISdS3BdPuvJAtDsi6a2GVEN6JUmEbQSEB1Yacp1DDLd9zhj6vrJ6JaGQo8be4trGxitMoZ9Gh7fI2EimYY9ZKc20xpleurx8TnfesSAvCHyfE1uIB8anGg0zmm1j1d7JPgn3HnhmNC2urH7tjYTtoYGehXC_aILu53wDHQ30yLpidoIrfeqwXAFUEDf-22KT0sFlou23mkIT-XEI-2JXkcHtTxUT2PS025a7zXEz9Ys.QNvx_0jHD_pZ6pc-n3ulITWOdaLiP9_zSUnzVD8POaA&dib_tag=se&keywords=big+savings&qid=1748069035&sr=8-1&tag=nicdav09-20
"Yoment 100 Envelopes Money Saving Challenge Binder, Budget Binder with Zipper Envelopes, B5 PP Savings Book Challenge-Easy & Fun Way to Save $5,050, Cash Saving Budget System Wallet with1 Pendant",50%,$6.50 off,6.49,12.99,https://www.amazon.com/Yoment-Envelopes-Challenge-Savings-Challenge-Easy/dp/B0D923KH4T/ref=sr_1_18?dib=eyJ2IjoiMSJ9.c58DX5p6U53hivIM138p_bz6Bp7dsY-zfKWpEDmp8O0UF4D1cBP0QUZFwGnitnXgISdS3BdPuvJAtDsi6a2GVEN6JUmEbQSEB1Yacp1DDLd9zhj6vrJ6JaGQo8be4trGxitMoZ9Gh7fI2EimYY9ZKc20xpleurx8TnfesSAvCHyfE1uIB8anGg0zmm1j1d7JPgn3HnhmNC2urH7tjYTtoYGehXC_aILu53wDHQ30yLpidoIrfeqwXAFUEDf-22KT0sFlou23mkIT-XEI-2JXkcHtTxUT2PS025a7zXEz9Ys.QNvx_0jHD_pZ6pc-n3ulITWOdaLiP9_zSUnzVD8POaA&dib_tag=se&keywords=big+savings&qid=1748069035&sr=8-18&tag=nicdav09-20
Editors' pick,53%,$9.62 off,8.37,17.99,https://www.amazon.com/Final-Offer-Dreamland-Billionaires-3/dp/172827222X/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.KislBQApfexidDFzC8zPC6oc0e6yAMyH42IdymBgQSAIKqZTSyvodUIyis_JVqsf2fvowth7oV1EDX7LxteorcnHZcn4eWyK0u4NoQCSOcQ2-X8YSC300d7-gvHO6kqVz7FWB6L788giZQeB_neyxgpl_vdhKE2mDWZZe-dMK2gAu9tU4-rnokPoCmpe1H3CowXF5X8jC9s-_yNukizPjg.Y1zPanm_M17_Qj6pQwbo6ZVOWXS5_ZxqHrKLoMMumhs&dib_tag=se&keywords=special+offer&qid=1748069037&sr=8-10&tag=nicdav09-20
Goodreads Choice,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO74eHVeQSflXLRAsL3ay94QFWxATgnyP2MgwbjMmKXp_g8C7PV0les2UnDY1KHW_q5KIjiLq1Vov2UAp1HOV-YTKoeq76kA2sKoGwxHu6_f_hPUM4p69gSbpCInE7Q9DyxdPIfOmWOLUXmhqQouRjzHmmUHyOccDsfX0_lwDfUEXZA.9Kth7x6FmiowYnlRs_EYVToZ8Z5PHMvMW5rv-iHlyKE&dib_tag=se&keywords=books+deals&qid=1748069041&sr=8-3&tag=nicdav09-20
"Retinol Eye Stick, Retinol Eye Cream, Retinol Cream, Retinol Face Cream, Under Eye Cream Anti Aging, Eye Cream, Brightening Eye Balm Reduces Fine Lines and Dark Circles, Visible Results in 3-4 Weeks",89%,$179.91 off,19.99,199.9,https://www.amazon.com/Retinol-Puffiness-Brightener-Wrinkles-Brightening/dp/B0B4PW6ZKY/ref=sr_1_35?dib=eyJ2IjoiMSJ9.txKcyE-K_YWp5o2mTHSULtyhwfguAHFwaxtCmF5omXDpV5DGj7pU2_d0x-cug5UnaQ4u6zudq65KQzoaNXhFx7EQwyxU0S2rHlVih1grhw9NeKKxOxlzNCe3kw8K2mIL39_54jiyDjqJ_zQKeYXtq_w5S-4dVSZkGsddyPwI07ufx_8qWnjlGmvifRq7Hb1G940j7NkOnmioc14GHfmP7lKEI9oQyQdscUFk1IP9eACnOWXhGyD26qN1CGt3hnJp1lim1uGcemxkOjpDEIr6x4ULj6hEqBlZsIzGGAjQkkg.wIcTxASyIhGKDmP125AIBtzMOEqVec-c_YcQP-A_TA8&dib_tag=se&keywords=deal+of+the+week&qid=1748069043&sr=8-35&tag=nicdav09-20
"Lamisil Jock Itch Antifungal Cream | 1 Week Treatment | Clinically Proven | Fast and Effective Symptom Relief of Itching, Burning and Redness |.42 oz (12g)",58%,$16.53 off,11.97,28.5,https://www.amazon.com/Lamisil-Antifungal-Treatment-Clinically-Effective/dp/B0DT5VWS2V/ref=sr_1_40?dib=eyJ2IjoiMSJ9.txKcyE-K_YWp5o2mTHSULtyhwfguAHFwaxtCmF5omXDpV5DGj7pU2_d0x-cug5UnaQ4u6zudq65KQzoaNXhFx7EQwyxU0S2rHlVih1grhw9NeKKxOxlzNCe3kw8K2mIL39_54jiyDjqJ_zQKeYXtq_w5S-4dVSZkGsddyPwI07ufx_8qWnjlGmvifRq7Hb1G940j7NkOnmioc14GHfmP7lKEI9oQyQdscUFk1IP9eACnOWXhGyD26qN1CGt3hnJp1lim1uGcemxkOjpDEIr6x4ULj6hEqBlZsIzGGAjQkkg.wIcTxASyIhGKDmP125AIBtzMOEqVec-c_YcQP-A_TA8&dib_tag=se&keywords=deal+of+the+week&qid=1748069043&sr=8-40&tag=nicdav09-20
"Eyelash & Eyebrow Kit, 2-In-1 Professional Lash & Brow Color Kit, Eye Brow and Eye Lash Coloring Set, Lasting for 4-6 Weeks Hair Color DIY for Salon & Home 7ml Coffee/Dark Brown",75%,$47.97 off,15.99,63.96,https://www.amazon.com/Eyelash-Eyebrow-Professional-Coloring-Lasting/dp/B0DY1LJCQ9/ref=sr_1_47?dib=eyJ2IjoiMSJ9.txKcyE-K_YWp5o2mTHSULtyhwfguAHFwaxtCmF5omXDpV5DGj7pU2_d0x-cug5UnaQ4u6zudq65KQzoaNXhFx7EQwyxU0S2rHlVih1grhw9NeKKxOxlzNCe3kw8K2mIL39_54jiyDjqJ_zQKeYXtq_w5S-4dVSZkGsddyPwI07ufx_8qWnjlGmvifRq7Hb1G940j7NkOnmioc14GHfmP7lKEI9oQyQdscUFk1IP9eACnOWXhGyD26qN1CGt3hnJp1lim1uGcemxkOjpDEIr6x4ULj6hEqBlZsIzGGAjQkkg.wIcTxASyIhGKDmP125AIBtzMOEqVec-c_YcQP-A_TA8&dib_tag=se&keywords=deal+of+the+week&qid=1748069043&sr=8-47&tag=nicdav09-20
