Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=y5Ov5&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=F2ANP11G3Y8SVXWVHWV0&pd_rd_wg=whLfl&pd_rd_r=87addeb8-8138-464a-8468-0257f9ec45a5&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
55% off,54%,$120.99 off,99.0,219.99,https://www.amazon.com/CHEF-iQ-Thermometer-Ultra-Thin-Monitoring/dp/B0C7JNJW2N?pd_rd_w=y5Ov5&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=F2ANP11G3Y8SVXWVHWV0&pd_rd_wg=whLfl&pd_rd_r=87addeb8-8138-464a-8468-0257f9ec45a5&pd_rd_i=B0C7JNJW2N&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_1?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&rdc=1&sr=8-1&tag=nicdav09-20
LAURA GELLER NEW YORK Award-Winning Baked Balance-n-Brighten Color Correcting Powder Foundation - Fair - Buildable Light to Medium Coverage - Demi-Matte Natural Finish,68%,$38.23 off,17.99,56.22,https://aax-us-iad.amazon.com/x/c/JE_ABwNDglsodSMimqErTzMAAAGW6OPOlQEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDmXbVs/https://www.amazon.com/dp/B000IEMGGE?pd_rd_i=B000IEMGGE&pf_rd_p=8aea4788-5372-43c5-bde7-3d239eb02a51&pf_rd_r=5D5M3P4JGZN874AGWFXX&pd_rd_wg=VPHwI&pd_rd_w=dpDm8&pd_rd_r=67139068-98f1-4e6b-9ae9-5890e8bc88b4&tag=nicdav09-20
,82%,$24.41 off,5.0,29.41,https://www.amazon.com/l-f-Monochromatic-Multi-Stick-Glistening/dp/B07MWTH3BY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&sr=8-5&tag=nicdav09-20
"Squeeze Me Lip Balm, Moisturizing Lip Balm For A Sheer Tint Of Color, Infused With Hyaluronic Acid, Vegan & Cruelty-free, Strawberry",79%,$15.05 off,4.0,19.05,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=sr_1_9?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&sr=8-9&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&sr=8-15&tag=nicdav09-20
"Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",65%,$35.29 off,19.0,54.29,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=sr_1_24?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&sr=8-24&tag=nicdav09-20
Carbon impact,85%,$135.14 off,22.0,157.14,https://www.amazon.com/Wonderskin-Blading-Transfer-Waterproof-Whimsical/dp/B0B9YHX8DX/ref=sr_1_32?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&rdc=1&sr=8-32&tag=nicdav09-20
"SKIN Holy Hydration! Eye Cream Mini, Rich Hydrating Eye Cream For Minimizing Dark Circles, Infused With Hyaluronic Acid, Vegan & Cruelty-free",76%,$13.39 off,4.0,17.39,https://www.amazon.com/l-f-Hydration-Minimizing-Hyaluronic-Cruelty-free/dp/B0D878VYGM/ref=sr_1_36?dib=eyJ2IjoiMSJ9.CjAvBD2m_1LsCstGD6tZBpHGdZXQ-HqBkKZc4-5dBcENOI-02u7GVWt_O4Ra2mbJSCRmsry2-GTot66X-la3eQH4GnIz1k8yC-8UuIZ-kAlPAkDbwz7RuDaZN-O0fPUfupI2rXIr4X8GdDq11mLxyQqIV16tiCYRxFxCVV7cMewTHF0pYzSYmynEezwyidUBCroZvU6oDSNrU9FKrfnRrMomOuufX12PXapRpSMTfkpMOUz4nJvgUI1oo9ibcPFKwZUtnI6Hv59_iMzKAlm8mya3lO45WywoyTNE2FINUxA.04eVJzD_1kOrr6zwkaHml1RlLW29k2_SvzClCBPogPc&dib_tag=se&keywords=beauty+sale&qid=1747663965&sr=8-36&tag=nicdav09-20
