Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
51% off,50%,$10.72 off,10.43,21.15,https://www.amazon.com/Amazon-Essentials-Hooded-Fleece-Sweatshirt/dp/B07C8Y6V5B?pd_rd_w=uoq9f&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=BA68GJ9HBP81CXADTSHV&pd_rd_wg=709rg&pd_rd_r=e813171a-8a69-4bf7-8598-aaa790f782ee&pd_rd_i=B07C8Y6V5B&tag=nicdav09-20
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=YC4VV&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=BA68GJ9HBP81CXADTSHV&pd_rd_wg=709rg&pd_rd_r=e813171a-8a69-4bf7-8598-aaa790f782ee&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
58% off,58%,$34.52 off,24.98,59.5,https://www.amazon.com/Nautica-Classic-Front-Stretch-Bright/dp/B075NY3ZFM?pd_rd_w=uhnx8&content-id=amzn1.sym.228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_p=228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_r=BA68GJ9HBP81CXADTSHV&pd_rd_wg=709rg&pd_rd_r=e813171a-8a69-4bf7-8598-aaa790f782ee&pd_rd_i=B075NY3ZFM&tag=nicdav09-20
,82%,$24.41 off,5.0,29.41,https://www.amazon.com/l-f-Monochromatic-Multi-Stick-Glistening/dp/B07MWTH3BY/ref=sr_1_16?dib=eyJ2IjoiMSJ9.-Lc7jcmkY88QIlMo4G-u1hN2cYfFxz5DLePuNuNqs7vYd1VNlcWpV5xh0fMiZ6Dk_UVMn6tM9iDvQoDeAvEJUkqVNdZX241gRgKK8fw5kB2zln1Izm_spi9jAb96ZFys2sJMOzIuQPdyg457ltaf9vvibFmLgYfFdSrx5QEowrKOwWZil_g0WdaPx3UApP-190yyBYLgpmxjN5_Ud5GRzZdYgNU5sBrGbPpkUigidU9J39hCB3gaGWMsK1S3CXNJddawUqbSp5TNVGhJeO79ep1XtEU2G72CU_bCGFyNicM.oMT3MuWRHE_ZNU_Xr9EMAewgeqzXo-M_hJqpauJn_Dw&dib_tag=se&keywords=sale+items&qid=1747863404&sr=8-16&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-1&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_4?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-4&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_6?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-6&tag=nicdav09-20
"Throttled (Deluxe Edition) (Dirty Air, 1)",64%,$11.69 off,6.3,17.99,https://www.amazon.com/Throttled-Dirty-Air-Lauren-Asher/dp/1464227616/ref=sr_1_8?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-8&tag=nicdav09-20
I Am Watching You,54%,$8.66 off,7.29,15.95,https://www.amazon.com/Am-Watching-You-Teresa-Driscoll/dp/1542046599/ref=sr_1_12?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-12&tag=nicdav09-20
Red Rising (Red Rising Series Book 1),66%,$12.01 off,5.99,18.0,https://www.amazon.com/Red-Rising-Book-ebook/dp/B00CVS2J80/ref=sr_1_17?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IthOegpbZ8hmQXk3pH3ivZ8moPK_DF4nOm5qztnU_C3kWxATgnyP2MgwbjMmKXp_g6Y6Km5VQ6oSbXM27EDElBjXCmFxRpDgqX8Q8eH5OEorDRKjk6Bp66-CR7vLddk_6_UM4p69gSbpCInE7Q9Dyxfd17amMe9rFagf81tjJkDhLZU1r-gkgL1uXhxseTudnyeNFigcJ0eBFySw-v4WhNlzdhvKoOTK_MSkIGuyJQOWCDYJgObhUY_h7SJq-ZtOulvO3cTMQfAd0GuR-964raU.CCdh3L3xGirt9340mZldxfWXik1EyMDugX4uEDKpS9I&dib_tag=se&keywords=books+deals&qid=1747863407&sr=8-17&tag=nicdav09-20
