Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=97g7y&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=QB07MNXF0M8WKXKWNAZQ&pd_rd_wg=aCGRP&pd_rd_r=5d1a0a7f-b808-4381-9bed-c9a82bcecfa8&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
55% off,54%,$120.99 off,99.0,219.99,https://www.amazon.com/CHEF-iQ-Thermometer-Ultra-Thin-Monitoring/dp/B0C7JNJW2N?pd_rd_w=97g7y&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=QB07MNXF0M8WKXKWNAZQ&pd_rd_wg=aCGRP&pd_rd_r=5d1a0a7f-b808-4381-9bed-c9a82bcecfa8&pd_rd_i=B0C7JNJW2N&tag=nicdav09-20
,50%,$8.00 off,7.99,15.99,https://www.amazon.com/kimorn-Polarized-Sunglasses-Flexible-Mountaineering/dp/B0DTHF7812/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jT9a9qcQQi_CVglLyM1jEoC3exk8JvE9HBoGYgISbNW1MX_h68lCyKz3P_CHZLEXsefG2r9zf-umrEmd3r0k15ooJQokwwYRFJSE1_3NyoMITpYNkvFzPWwWcy37lXuOleG5Hk4EeW596jxB3pONsxJFnqLpo300EGMWqrduBX97TEhTlNWWeHGIjXu-IolN63N0jyBa0lZtQPxd6YvTWqv0xNYHO8FjtjQn6xEeZiFB8wfKr108T7U93AKzYn5jV-bdUwgYKJBUshDX7zZIahpjsjRHsTjg0sm-sh7BFnU.7hJ3BZ9TCRF0eAyx3z36a_5s5RUgPgQtBd_Y-8EBBb4&dib_tag=se&keywords=sports+sale&qid=1747662423&sr=8-5&tag=nicdav09-20
"Secret Outlast Antiperspirant Deodorant for Women, 72hr Sweat & Odor Protection, PH Balancing Minerals, Invisible Solid, Completely Clean Scent, Travel Size, 0.5 oz",50%,$1.31 off,1.31,2.62,https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B006MD1OHM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.cbZ_Zk-dee6zg_x8RM5YLjSyNpo_D4fmdIwc2fv7P1b6Qz7SVnCsObGSg-PX6wuljmpPq4DmIo9IwYZMcS8hJjJXee0gAohACkU5uxb8GBr6dJmMZhfmchC0iiEBcWHnVG-LeOJgI2IYMmvzyRqa6zSmz8u6KejEtEhW58jN-tnyto59eb6ZLOOZYLJ2kpgs6hlmVEhi6El3s8XplqtSrjkkHN172npgHc1h7mDiOY1mlzDMnQ0kLmGOVC0c2Ra4x2gHNqh1TxzTh6dYnkfpEzxlj3viQes-oepzUEXowBU.CmZy1k1KOZCP42mW0qoKXxoTJPXVTRx5VgQFaYwCBnY&dib_tag=se&keywords=clearance+items&qid=1747662425&sr=8-6&tag=nicdav09-20
"Wireless Earbuds Sport, Bluetooth 5.4 Headphones 2025 Bluetooth Earbuds with 75Hrs Stereo, 4 ENC Mic, Over-Ear Buds with Earhooks Noise Canceling Earphones , IP7 Waterproof Headset for Workout/Running",87%,$174.00 off,25.99,199.99,https://www.amazon.com/Bluetooth-Headphones-Canceling-Earphones-Waterproof/dp/B0DX72QYCJ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.kDIgR4GdYze8uTotFDChvY6dPIg2gT_Zg7Fu6W4-1SIUzVZg352gc_7FtF64napKCQ4UIL3EjpyYhZD_NaJsJsIrmPE2NOdOjsU9vqDD59PUDCLifMMoT7gB3YRsFe_6JxU8RkPL_s46EbrNDI4ceyh9uedHEmShvud5t2Eq7yGFQfe3lv1vp0mAsaeTY7L6Y_Ro5y41vq_6aRvrTTRG-FW14-zFzDMb0Ru7YmV5hfU.F7SMEGg-F3G--T8QcMH05ixHNYLh_IkoezQ8ig2flWM&dib_tag=se&keywords=electronics+deals&qid=1747662427&sr=8-12&tag=nicdav09-20
Best Seller,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.O0bbm0aTglaLESduqeyI8bTgT35iQEP2aP7VloLnBmvHFHfWM0SaCp8KLl7a4vaykCfTJJAwn25xGp_OrILlWRuqeiRSJHGIR43-Pf_gcUTZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KkNFCEx-d_JDZTaVDxasgjQC8s4vy5rL2Fh8O7P1YvSBX5L1HnD8L-YWrET4HF5Jlw.2VXQmreK6eaijl8TjYaQFWkrjScj1N3A0y6RRdPHSoE&dib_tag=se&keywords=books+deals&qid=1747662430&sr=8-1&tag=nicdav09-20
Goodreads Choice,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=mp_s_a_1_2?dib=eyJ2IjoiMSJ9.O0bbm0aTglaLESduqeyI8bTgT35iQEP2aP7VloLnBmvHFHfWM0SaCp8KLl7a4vaykCfTJJAwn25xGp_OrILlWRuqeiRSJHGIR43-Pf_gcUTZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KkNFCEx-d_JDZTaVDxasgjQC8s4vy5rL2Fh8O7P1YvSBX5L1HnD8L-YWrET4HF5Jlw.2VXQmreK6eaijl8TjYaQFWkrjScj1N3A0y6RRdPHSoE&dib_tag=se&keywords=books+deals&qid=1747662430&sr=8-2&tag=nicdav09-20
"Mattel Minecraft Sniffer Action Figure, 3.25-inch Scale with Game-Accurate Sounds & Pixelated Design",74%,$16.00 off,5.59,21.59,https://www.amazon.com/Mattel-Minecraft-Sniffer-Game-Accurate-Pixelated/dp/B0CMJPQHPD/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-2&tag=nicdav09-20
Magic Mixies - Magical Real Misting Gold Cauldron with 8 Inch Non-Electronic Plush Toy. Follow The Spell Book Add The Magic Ingredients. Who Will You Magically Create?,53%,$10.76 off,9.29,20.05,https://www.amazon.com/Magic-Mixies-Cauldron-Ingredients-Magically/dp/B0CQ5K6Y8Z/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-5&tag=nicdav09-20
"Snackles Series 2 Lamb & Jelly Belly 8 Inch Collectible Stuffed Animal by ZURU, Ultra Soft Plush, Giftable",72%,$9.44 off,3.55,12.99,https://www.amazon.com/Snackles-Snackle-Squishy-Comfort-Accessory/dp/B0CPKZK8FB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-9&tag=nicdav09-20
"Rainbocorns Eggzania Mini Mania Panda Plush Surprise Unboxing with Animal Soft Toy, Idea for Girls with Imaginary Play by ZURU",52%,$9.39 off,8.6,17.99,https://www.amazon.com/Rainbocorns-Eggzania-Surprise-Unboxing-Imaginary/dp/B0CD2YTCNC/ref=sr_1_15?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-15&tag=nicdav09-20
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",71%,$14.31 off,5.68,19.99,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=sr_1_17?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-17&tag=nicdav09-20
"Deluxe Kween of Rawr 11"" Mega Size Figure with Deluxe Finishes and Cool Dinosaur Shaker Fillings, 250% Larger Than Regular Sized Kweenie Figs, Includes Display Case & Collector Card",82%,$22.28 off,4.71,26.99,https://www.amazon.com/XOX-KWEENIE-Finishes-Dinosaur-Collector/dp/B0CPMG2HNN/ref=sr_1_21?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-21&tag=nicdav09-20
"Just Play Star Wars™ Doorables Puffables Plush – Star Wars: The Mandalorian™, 10-inch Collectible Plush Featuring Glitter Eyes, Styles May Vary, Kids Toys for Ages 3 Up",55%,$5.54 off,4.45,9.99,https://www.amazon.com/Just-Play-Mandalorian-Grogu-Frog/dp/B0CCSRM2N4/ref=sr_1_22?dib=eyJ2IjoiMSJ9.SvOe_XvZP6_QRKW3qFXoN78HNVujFrqr6Srnn1tpw8cEdWHJuJMgpkbQaL4Z6OlNrGFT6t7LiNf1NOVOedOmZ5h-H3DhB7N_kHSq9pVoNoRV0UtcNyMVA4E_YNKV8ahS5g9ZUZmAkAwp68en8v2Q4850yeVHf_R3eJOkia8Q4TZYe09tFx-DmWWT2ExArCtwhRUJte-bw1s4hnfffoQ1Eg5tk_2BHXn7k5i_oAZw7gN1o-W6sySmHUO37QggN5OnYJ5oRP2RzCUaZcQSg0W_AgiPubaLGkeUu1QR15Lwduw.Rv-IhRVR0HRCgyP1fsaj2H6qPcEWIaGlfaurQLofAeY&dib_tag=se&keywords=toys+deals&qid=1747662432&sr=8-22&tag=nicdav09-20
