Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
52% off,52%,$11.37 off,10.43,21.8,https://www.amazon.com/Amazon-Essentials-Hooded-Sweatshirt-X-Large/dp/B07BN43CKK?pd_rd_w=RpjW6&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=7H0PTCDKF5X1R4QG8NCS&pd_rd_wg=0plit&pd_rd_r=40bb5278-90e6-4ce7-a4d5-bb6a4fd64bd0&pd_rd_i=B07BN43CKK&tag=nicdav09-20
53% off,52%,$15.47 off,13.93,29.4,https://www.amazon.com/Amazon-Essentials-Full-Zip-Sweatshirt-XX-Large/dp/B08X2F63WY?pd_rd_w=RpjW6&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=7H0PTCDKF5X1R4QG8NCS&pd_rd_wg=0plit&pd_rd_r=40bb5278-90e6-4ce7-a4d5-bb6a4fd64bd0&pd_rd_i=B08X2F63WY&tag=nicdav09-20
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=H43sh&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=7H0PTCDKF5X1R4QG8NCS&pd_rd_wg=0plit&pd_rd_r=40bb5278-90e6-4ce7-a4d5-bb6a4fd64bd0&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
"Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count",76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=sr_1_1?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&rdc=1&sr=8-1&tag=nicdav09-20
,61%,$3.05 off,1.94,4.99,https://www.amazon.com/wet-wild-Multi-Stick-Moisturizing-Cruelty-Free/dp/B0CQNQ7WL2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&sr=8-3&tag=nicdav09-20
"Squeeze Me Lip Balm, Moisturizing Lip Balm For A Sheer Tint Of Color, Infused With Hyaluronic Acid, Vegan & Cruelty-free, Strawberry",79%,$15.05 off,4.0,19.05,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=sr_1_10?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&sr=8-10&tag=nicdav09-20
Packaging efficiency,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=sr_1_14?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&sr=8-14&tag=nicdav09-20
"Lip Glowy Balm: Hydrate, Glossy, Lightweight, Moisturize & Tint with Shea Butter",65%,$35.29 off,19.0,54.29,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=sr_1_23?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&sr=8-23&tag=nicdav09-20
"Lip Liner Stay-N Peel Off Lip Stain — Long Lasting Matte Lip Tattoo Transfer Proof Lipstain Infused with Hyaluronic Acid & Vitamin E for All Skin Types — Vegan & Cruelty-Free, P-inked",88%,$88.00 off,12.0,100.0,https://www.amazon.com/Sacheu-Lip-Liner-Stay-N-Hyaluronic/dp/B0BVPNQW1C/ref=sr_1_32?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&sr=8-32&tag=nicdav09-20
Carbon impact,85%,$135.14 off,22.0,157.14,https://www.amazon.com/Wonderskin-Blading-Transfer-Waterproof-Whimsical/dp/B0B9YHX8DX/ref=sr_1_42?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VMuX_hXiDzTJ3-YM_hOCf2HBgGJJXPHGutqj95aA7VFNdtv5NzrAH3mQB5UTUoeO3TDe6WtewUNtJPMJ2FfStVjw4_RPeWjPrHvJ88tuJQw41IQTSow9O27bnn9fvHtcunIJqyBUZTlh1N7RQ1brv9LPTaatB4LvvT8klyqAbRKrUMEqcbTuTurlrp3idUIDxQfN9uyt7vzn-DsvrL0SSQ9uFrzua6jfLW2sSoDrqmCKI40Wdvr--jtji55H77r1HGsJs0oNfr3Xz9aSNffEee0.UWHAbEq4b5FMxw-waE2ji-rzlhFPT2xS-hT1ljugAZ8&dib_tag=se&keywords=beauty+sale&qid=1747725182&rdc=1&sr=8-42&tag=nicdav09-20
