Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=FDQ8t&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=BPS4FGX9MDGJCVXE5RM6&pd_rd_wg=7DfoV&pd_rd_r=251d3a7d-1b0f-49bf-a048-b2db83711922&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
59% off,58%,$17.55 off,12.4,29.95,https://www.amazon.com/Childrens-Place-Chino-Stretch-Pants/dp/B0861WPLYZ?pd_rd_w=cK04z&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=BPS4FGX9MDGJCVXE5RM6&pd_rd_wg=7DfoV&pd_rd_r=251d3a7d-1b0f-49bf-a048-b2db83711922&pd_rd_i=B0861WPLYZ&ref_=MDW_SummerFaves_LP_B0861WPLYZ&tag=nicdav09-20
,50%,$8.00 off,7.99,15.99,https://www.amazon.com/kimorn-Polarized-Sunglasses-Flexible-Mountaineering/dp/B0DTHF7812/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.hDa7cht_LGxgbz0XpNDXD7itaL0sLt1szt1M2flilTgwFhkeLUI4OoC-q1ABx_IyzczKMZ-wrZmRNjNSk18kZwGObY-MIXR8rsrrapndy5BbrcT7C9-vM640ltSxiP0xkQTLPeRpasfHbJvP2BuLxRVLiVWRTXNrqrn-7eKyB1pP0ivLSzZTmjUPgMkEWhzzmE69jNuraPZxmLZGyaSZFr17M8NXTHV_i8hQWqv1Ckah5L7Sa7MPTyhFagFUnO3aQpwjK_fCp4UTuP2HTwrOanZKIBJ1CxqMLWdb8L_qFuQ.2D7S3j1RwK2t-nIdhBIANsMEJOduWMiPhJ-WLhf2XS0&dib_tag=se&keywords=sports+sale&qid=1748028854&sr=8-4&tag=nicdav09-20
"Cash Vault Money Savings Box, Piggy Bank for Adults Kids, Coin Bank for Boys and Girls, 10000 Savings Challenge Box, Wooden Cash Savings Box with 10 Money Target",50%,$5.00 off,4.99,9.99,https://www.amazon.com/Savings-Adults-Challenge-Wooden-Target/dp/B0DG99JXMN/ref=sr_1_1?dib=eyJ2IjoiMSJ9.c58DX5p6U53hivIM138p_bz6Bp7dsY-zfKWpEDmp8O01FPQ40sne8YB_iZyQs0g1FKBB2l5tEHBPbGZwS3YJi0ZegtriStepqOTrq_2Mi5TKkK072kVHWquAqYp9GOVHIWXG_bsSB_9jhSu_fgrhEdJIml_zagbfPxZ8jTtMbHoqiU2FmeXsnisoOhS7ns_kmLDdtpOqVm9VGuUCaZl2lcu_mRMJJrMxTplzU-4shRZ6lqvxl1syZWjyHPHuK9_brDF291PsytoSAmVnxHB4_Sm0i99cqCmLoeWnJeW2Wt8.aaAgWROQMsk_LtIzdAthScHMoz6z9VOZ7cE3cSWNKrs&dib_tag=se&keywords=big+savings&qid=1748028859&sr=8-1&tag=nicdav09-20
"Money Saving Box, 10000 Wooden Piggy Bank for Adults Kids, Coin Cash Box Gifts Toys for Ages 8-13, Reusable Kakaibo Money Box for Kids Birthday Gifts Boys Girls Adults Challenge （5 Amounts）",63%,$14.00 off,7.99,21.99,https://www.amazon.com/Upgraded-Reusable-Kakaibo-Birthday-Challenge/dp/B0DF7S9BSM/ref=sr_1_44?dib=eyJ2IjoiMSJ9.c58DX5p6U53hivIM138p_bz6Bp7dsY-zfKWpEDmp8O01FPQ40sne8YB_iZyQs0g1FKBB2l5tEHBPbGZwS3YJi0ZegtriStepqOTrq_2Mi5TKkK072kVHWquAqYp9GOVHIWXG_bsSB_9jhSu_fgrhEdJIml_zagbfPxZ8jTtMbHoqiU2FmeXsnisoOhS7ns_kmLDdtpOqVm9VGuUCaZl2lcu_mRMJJrMxTplzU-4shRZ6lqvxl1syZWjyHPHuK9_brDF291PsytoSAmVnxHB4_Sm0i99cqCmLoeWnJeW2Wt8.aaAgWROQMsk_LtIzdAthScHMoz6z9VOZ7cE3cSWNKrs&dib_tag=se&keywords=big+savings&qid=1748028859&sr=8-44&tag=nicdav09-20
"Astercook Knife Set, 13 Pieces Kitchen Knives Set with Healthy Anti-Rust Coating, Dishwasher Safe, Stainless Steel Chef Knife Sets with 6 Blade Guards, Perfect Holiday Gifts for Kitchen",64%,$32.01 off,17.98,49.99,https://www.amazon.com/Astercook-Kitchen-Anti-Rust-Dishwasher-Stainless/dp/B0D9B96TBX/ref=sr_1_12?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlywv_Uao9W7xBsce61AbXOJy3BFFjXFNmAW3SqKWqMUBXMmW1jpKvNYx3rVCabsgbXbZc8DGEaNva-ke9gxLqXR0ayRrRrWqsKYyiMeyrwZSrkpldIW-z7eY1suc157p09Ob1iWtgjGhi10wEqRJF_D2uH9x3gU20g0E-HREquceIW_Q4lkr3glYoIM0R2jnvm-1Xhb568CLgK4gZtoUGmhMoabV8ppZsZzGzNAlsEJvnV2zMmBbabnhBBzy48wgS6s.jWbsy2Uu1ig61IrmnD1eNg3R3cH68evDYm3yzD2NqDo&dib_tag=se&keywords=home+sale&qid=1748028863&sr=8-12&tag=nicdav09-20
"Yankee Candle Pink Sands Scented, Classic 22oz Large Jar Single Wick Candle, Over 110 Hours of Burn Time, Perfect for Creating Relaxing Atmosphere",50%,$15.50 off,15.49,30.99,https://www.amazon.com/Yankee-Candle-Large-Pink-Sands/dp/B004G9C0SQ/ref=sr_1_42?dib=eyJ2IjoiMSJ9.mvQWQ1Kl5Sjs3T16PDFZvHB5wjTWCLSy56fFXALvlywv_Uao9W7xBsce61AbXOJy3BFFjXFNmAW3SqKWqMUBXMmW1jpKvNYx3rVCabsgbXbZc8DGEaNva-ke9gxLqXR0ayRrRrWqsKYyiMeyrwZSrkpldIW-z7eY1suc157p09Ob1iWtgjGhi10wEqRJF_D2uH9x3gU20g0E-HREquceIW_Q4lkr3glYoIM0R2jnvm-1Xhb568CLgK4gZtoUGmhMoabV8ppZsZzGzNAlsEJvnV2zMmBbabnhBBzy48wgS6s.jWbsy2Uu1ig61IrmnD1eNg3R3cH68evDYm3yzD2NqDo&dib_tag=se&keywords=home+sale&qid=1748028863&sr=8-42&tag=nicdav09-20
"Retinol Eye Stick, Retinol Eye Cream, Retinol Cream, Retinol Face Cream, Under Eye Cream Anti Aging, Eye Cream, Brightening Eye Balm Reduces Fine Lines and Dark Circles, Visible Results in 3-4 Weeks",89%,$179.91 off,19.99,199.9,https://www.amazon.com/Retinol-Puffiness-Brightener-Wrinkles-Brightening/dp/B0B4PW6ZKY/ref=sr_1_17?dib=eyJ2IjoiMSJ9.oBRMYCH-13ATCDd0NrpXLlUi9uWWrYX-ETj_uIkvP6XpV5DGj7pU2_d0x-cug5UnWrt2uViKy7Fk-R-Y6n8vUfM0aB87_AUnt3XX1Jw8iPXhrZvmF84eTFj-MCinbp8TNcLa_JKAbg5bZq3NN7icgo1n3v6Y0keiul4qRT38SPH7QyVq9XyVLsYmFwjStwhGHXfdyA1pJxe0RjzNjeVO_y_JRvnguaQMnoUSR587EJT8x5AXFCKQdoZARfGa674n1lim1uGcemxkOjpDEIr6x4ULj6hEqBlZsIzGGAjQkkg.g5Gd7e9tlDZ9E8S5_Ln8NKQqUcUEVlml9MeYKhHC2Hk&dib_tag=se&keywords=deal+of+the+week&qid=1748028864&sr=8-17&tag=nicdav09-20
"Eyelash & Eyebrow Kit, 2-In-1 Professional Lash & Brow Color Kit, Eye Brow and Eye Lash Coloring Set, Lasting for 4-6 Weeks Hair Color DIY for Salon & Home 7ml Coffee/Dark Brown",75%,$47.97 off,15.99,63.96,https://www.amazon.com/Eyelash-Eyebrow-Professional-Coloring-Lasting/dp/B0DY1LJCQ9/ref=sr_1_43?dib=eyJ2IjoiMSJ9.oBRMYCH-13ATCDd0NrpXLlUi9uWWrYX-ETj_uIkvP6XpV5DGj7pU2_d0x-cug5UnWrt2uViKy7Fk-R-Y6n8vUfM0aB87_AUnt3XX1Jw8iPXhrZvmF84eTFj-MCinbp8TNcLa_JKAbg5bZq3NN7icgo1n3v6Y0keiul4qRT38SPH7QyVq9XyVLsYmFwjStwhGHXfdyA1pJxe0RjzNjeVO_y_JRvnguaQMnoUSR587EJT8x5AXFCKQdoZARfGa674n1lim1uGcemxkOjpDEIr6x4ULj6hEqBlZsIzGGAjQkkg.g5Gd7e9tlDZ9E8S5_Ln8NKQqUcUEVlml9MeYKhHC2Hk&dib_tag=se&keywords=deal+of+the+week&qid=1748028864&sr=8-43&tag=nicdav09-20
"Celestia Decora Fashion Girlz 11"" Doll Stickers & Endless Style Fun for Creative Play",54%,$5.37 off,4.56,9.93,https://www.amazon.com/Celestia-Fashion-Stickers-Endless-Creative/dp/B0D3FP3P2X/ref=sr_1_3?dib=eyJ2IjoiMSJ9.f0359KpjnErJcSGcPCCM45o3H1vTFCHGsNvJPW-mDewQGxLlnCc_L2ODARZyJeDvlTJZAWYOxs5Z_CbcukhmZpgVtRq8GEtzJ4yv1EeWSQornSEcfXXFqmD8dtbAyuKxi6U0kiDzXvnjDAwOpPYXqjOWHi00_nmXhQtyxVrfb41JNuqaoMIPA6NFoypdxVCIqIWWgnqV2yA7YFq6JUYmeGz80fhEAjy38vgF7zFhatXEuXlQISk-E1fJD2CS4to4LwQgQZs85gk1M2m4fjba-AHo7_E1Mm3LJWg6uvfN9QY.XrwwkssPLeoksDLZpN69VVEhB6FYuymPrd99WwSOtco&dib_tag=se&keywords=toys+sale&qid=1748028866&sr=8-3&tag=nicdav09-20
