Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
51% off,50%,$10.72 off,10.43,21.15,https://www.amazon.com/Amazon-Essentials-Hooded-Fleece-Sweatshirt/dp/B07C8Y6V5B?pd_rd_w=sgMRJ&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=H7GPEH9VT25R0EH475V0&pd_rd_wg=altuc&pd_rd_r=307ed674-cde9-433b-b79a-519486f1deb8&pd_rd_i=B07C8Y6V5B&tag=nicdav09-20
50% off,50%,$9.00 off,8.99,17.99,https://www.amazon.com/Zeagoo-Womens-Printed-Pleated-Blouses/dp/B0DHW4RJY5?pd_rd_w=js0KW&content-id=amzn1.sym.50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_p=50cd4463-c4e3-438e-b0d6-ad7e77cee103&pf_rd_r=H7GPEH9VT25R0EH475V0&pd_rd_wg=altuc&pd_rd_r=307ed674-cde9-433b-b79a-519486f1deb8&pd_rd_i=B0DHW4RJY5&ref_=MDW_SummerFaves_LP_B0DHW4RJY5&tag=nicdav09-20
58% off,58%,$34.52 off,24.98,59.5,https://www.amazon.com/Nautica-Classic-Front-Stretch-Bright/dp/B075NY3ZFM?pd_rd_w=1yTsx&content-id=amzn1.sym.228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_p=228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_r=H7GPEH9VT25R0EH475V0&pd_rd_wg=altuc&pd_rd_r=307ed674-cde9-433b-b79a-519486f1deb8&pd_rd_i=B075NY3ZFM&tag=nicdav09-20
Magic Mixies - Magical Real Misting Gold Cauldron with 8 Inch Non-Electronic Plush Toy. Follow The Spell Book Add The Magic Ingredients. Who Will You Magically Create?,53%,$10.76 off,9.29,20.05,https://www.amazon.com/Magic-Mixies-Cauldron-Ingredients-Magically/dp/B0CQ5K6Y8Z/ref=sr_1_7?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-7&tag=nicdav09-20
"Mattel Minecraft Sniffer Action Figure, 3.25-inch Scale with Game-Accurate Sounds & Pixelated Design",74%,$16.00 off,5.59,21.59,https://www.amazon.com/Mattel-Minecraft-Sniffer-Game-Accurate-Pixelated/dp/B0CMJPQHPD/ref=sr_1_9?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-9&tag=nicdav09-20
"Deluxe Kween of Rawr 11"" Mega Size Figure with Deluxe Finishes and Cool Dinosaur Shaker Fillings, 250% Larger Than Regular Sized Kweenie Figs, Includes Display Case & Collector Card",82%,$22.28 off,4.71,26.99,https://www.amazon.com/XOX-KWEENIE-Finishes-Dinosaur-Collector/dp/B0CPMG2HNN/ref=sr_1_18?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-18&tag=nicdav09-20
"Rainbocorns Eggzania Mini Mania Panda Plush Surprise Unboxing with Animal Soft Toy, Idea for Girls with Imaginary Play by ZURU",53%,$9.68 off,8.31,17.99,https://www.amazon.com/Rainbocorns-Eggzania-Surprise-Unboxing-Imaginary/dp/B0CD2YTCNC/ref=sr_1_25?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-25&tag=nicdav09-20
"Just Play Star Wars™ Doorables Puffables Plush – Star Wars: The Mandalorian™, 10-inch Collectible Plush Featuring Glitter Eyes, Styles May Vary, Kids Toys for Ages 3 Up",60%,$6.02 off,3.97,9.99,https://www.amazon.com/Just-Play-Mandalorian-Grogu-Frog/dp/B0CCSRM2N4/ref=sr_1_27?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-27&tag=nicdav09-20
"Dowsabel Clay Beads Bracelet Making Kit for Beginner, 5000 Pcs Preppy Polymer Clay Beads with Charms Kit for Jewelry Making, DIY Arts and Crafts Birthday Gifts Toys for Kids Age 6-13",71%,$14.20 off,5.79,19.99,https://www.amazon.com/Dowsabel-Bracelet-Beginner-5000Pcs-Birthday/dp/B0BWMPGFVL/ref=sr_1_29?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-29&tag=nicdav09-20
"Lite Brite Classic, Favorite Retro Toy - Create Art with Light, STEM, Educational Learning, Holiday, Birthday, Gift, Boys, Kid, Toddler, Girls Age 4+",50%,$10.00 off,9.99,19.99,https://www.amazon.com/Lite-Brite-Classic-Favorite-Retro-Toy/dp/B01N6B8SX0/ref=sr_1_31?dib=eyJ2IjoiMSJ9.xY8OjJSQa8sA66c4Lc5K5jpAFWEvcCct69SMH1l6fwI1xCxt3Uhr5FarZ_xV0NhwVG2VJw1BVlrAIbdXWE1VJ6UUwfgGRFevDw8RBrOskJVMaAdhe4kG-Qc3dqlMrSpJrhA5clSU4Y3_v__ojwcns2xHfZhmqZgeRW03WJNOv_B9MAwxp7EIs3TXalHBWvmQHHFSHs5KHa44smFtYf4Uw_eNoOkEYo6uT5YTO68IXFT8slUMpu_XruinnBKOSHzgfhfDwWtQFK9HBgCQv1xXbSaY6SYGTwQ0DnQPMVEcql8.cwZQ7fvkEn8I629vIJOXZS6DQraQLXYoOdV2309w7Ds&dib_tag=se&keywords=toys+deals&qid=1747765053&sr=8-31&tag=nicdav09-20
