Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=n2cxT&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=5RC3WVW2H7PNV1VQ86SP&pd_rd_wg=Xp3nG&pd_rd_r=cfb90f07-9074-4d5f-8df0-8217baec0c58&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
55% off,54%,$120.99 off,99.0,219.99,https://www.amazon.com/CHEF-iQ-Thermometer-Ultra-Thin-Monitoring/dp/B0C7JNJW2N?pd_rd_w=n2cxT&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=5RC3WVW2H7PNV1VQ86SP&pd_rd_wg=Xp3nG&pd_rd_r=cfb90f07-9074-4d5f-8df0-8217baec0c58&pd_rd_i=B0C7JNJW2N&tag=nicdav09-20
,64%,$32.01 off,17.98,49.99,https://www.amazon.com/Astercook-Kitchen-Anti-Rust-Dishwasher-Stainless/dp/B0D9B96TBX/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.0GGtsO7sBU3ySZs6lroIce7Cn4fS9XK0XRS61kXpMqBgDll9UsOIYzcg4ioAHnGuHyi_JUV43YxO8ZfVYpL-r7VfxOJwgS5YE1fbQLwAB6Vb8X4JoRjTZFG1OkvFArvbpXcF8LLN7AlPface00WaIDQnfohBVn6CHS3KvulgDt4fBgd1yEXv2pVowJB3GEeDj2PGhGvuyq8an5XcY1M4uA.wFRJV_CEqTq34nFBdZxxgf-LcH5P_C5VTN6YlEHSICE&dib_tag=se&keywords=kitchen+deals&qid=1747665791&sr=8-9&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-1&tag=nicdav09-20
Love and Other Words,58%,$9.96 off,7.03,16.99,https://www.amazon.com/Love-Other-Words-Christina-Lauren/dp/1501128019/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-4&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-6&tag=nicdav09-20
"Flawless (Chestnut Springs, 1)",50%,$9.06 off,8.93,17.99,https://www.amazon.com/Flawless-Chestnut-Springs-Elsie-Silver/dp/1728297001/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-16&tag=nicdav09-20
Remarkably Bright Creatures: A Read with Jenna Pick,85%,$17.00 off,2.99,19.99,https://www.amazon.com/Remarkably-Bright-Creatures-Shelby-Pelt-ebook/dp/B09BNH4TLW/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-20&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_22?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-22&tag=nicdav09-20
"Throttled (Deluxe Edition) (Dirty Air, 1)",65%,$11.86 off,6.13,17.99,https://www.amazon.com/Throttled-Dirty-Air-Lauren-Asher/dp/1464227616/ref=sr_1_25?dib=eyJ2IjoiMSJ9.Gx4ci3NPb-JlD8PgKuquvX12N9BdC2tc85MVwSXFT_6B1TYB5ThdCyfQ1c59o4sSWTj2NBqR2pgvQYUFcEv43SZxFAepxLgiCfP0qrqOAWu-CPIozSbJBmfXT9RsK3p0NdsuluuZuWsUxKChMTOaDee3sABt4_lELz-LOIlukaWTHqrVZv3GbTwHKHLiwlZoY6JyAmkC3vcdjj2TDepHYIV6lg8KXinNvREayQYAlS9k9MIHwOGBvkx175psQN5h3jwYibBXtjWpVah8NvtxkTIdMr1xxUjrgdA1PgMTYyA.MBEjiuL97WayTgX3FhDnikCihH_--QsgJtUCR4Nexeg&dib_tag=se&keywords=books+sale&qid=1747665793&sr=8-25&tag=nicdav09-20
