Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
50% off,50%,$149.00 off,149.0,298.0,https://www.amazon.com/Michael-Kors-Marilyn-Medium-Satchel/dp/B0CBKC3Y6G?pd_rd_w=FIN7U&content-id=amzn1.sym.2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_p=2d1a746f-4df1-4f61-b4b8-e768e6fa97d8&pf_rd_r=CTQKWD2B62X8ZWBYYWXK&pd_rd_wg=Mn3o0&pd_rd_r=6990bb94-abf5-45e0-ae8a-a3a7e571e8eb&pd_rd_i=B0CBKC3Y6G&tag=nicdav09-20
56% off,56%,$42.02 off,32.98,75.0,https://www.amazon.com/PUMA-Carina-Street-Sneaker-WhiteBlackSilver/dp/B0CHT9TH9F?pd_rd_w=uXxMW&content-id=amzn1.sym.5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_p=5e978d72-07e0-4120-a423-a2af986c9746&pf_rd_r=CTQKWD2B62X8ZWBYYWXK&pd_rd_wg=Mn3o0&pd_rd_r=6990bb94-abf5-45e0-ae8a-a3a7e571e8eb&pd_rd_i=B0CHT9TH9F&tag=nicdav09-20
,76%,$26.35 off,8.32,34.67,https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV7BgGJJXPHGutqj95aA7VFNdMQBXRg8PJN_VQywL5DXXy-YEbnoDZtbLQjGCnmEyhkX-Z7jpeS42YKo6KcKjY9HS8fP3CkxaqLGchd4OOWpZt_wlEODZvdCA5eMKjw3snRq5XCkv_fty0ty_xkoY-NN-vwfMMpgjJD9lRHks9ZoYxRyFoQATyABFxOQAcX7pHaPfIa0hLSFY8GyldjJAKHpeFqtTvSPGH_aNY03SozN8lB0_1HgM1uffXognrbQUyA.GSxTqxMI8TuTlNH5XnYJms7g50SZSZyW5zT4xdyLjJ4&dib_tag=se&keywords=beauty+sale&qid=1747949767&rdc=1&sr=8-3&tag=nicdav09-20
00,51%,$19.01 off,17.99,37.0,https://aax-us-iad.amazon.com/x/c/JJLHmktkZReZgZLggVgs3HEAAAGW-ezM0gEAAAH2AQBvbm9fdHhuX2JpZDYgICBvbm9fdHhuX2ltcDEgICBt_NoR/https://www.amazon.com/dp/B000IEMGGE?pd_rd_i=B000IEMGGE&pf_rd_p=4e849d97-3031-4a43-b90a-49345d02aba1&pf_rd_r=NMWDCNP4HMZZ9WDYZRXY&pd_rd_wg=1YDVS&pd_rd_w=ITgDw&pd_rd_r=9ea681c2-6da8-4821-b3b5-141515da7f47&tag=nicdav09-20
Best Seller,79%,$15.05 off,4.0,19.05,https://www.amazon.com/l-f-Moisturizing-Hyaluronic-Cruelty-free-Strawberry/dp/B0C7W6GW8P/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV7BgGJJXPHGutqj95aA7VFNdMQBXRg8PJN_VQywL5DXXy-YEbnoDZtbLQjGCnmEyhkX-Z7jpeS42YKo6KcKjY9HS8fP3CkxaqLGchd4OOWpZt_wlEODZvdCA5eMKjw3snRq5XCkv_fty0ty_xkoY-NN-vwfMMpgjJD9lRHks9ZoYxRyFoQATyABFxOQAcX7pHaPfIa0hLSFY8GyldjJAKHpeFqtTvSPGH_aNY03SozN8lB0_1HgM1uffXognrbQUyA.GSxTqxMI8TuTlNH5XnYJms7g50SZSZyW5zT4xdyLjJ4&dib_tag=se&keywords=beauty+sale&qid=1747949767&sr=8-8&tag=nicdav09-20
Sustainability features,50%,$4.13 off,3.97,8.1,https://www.amazon.com/Rimmel-Natural-Bronzer-Sun-Bronze/dp/B001B0H82Q/ref=mp_s_a_1_24?dib=eyJ2IjoiMSJ9.2Of2UG5dEiLZcfWboh68VK-RQCWejAnHEoU6Cd0ftV7BgGJJXPHGutqj95aA7VFNdMQBXRg8PJN_VQywL5DXXy-YEbnoDZtbLQjGCnmEyhkX-Z7jpeS42YKo6KcKjY9HS8fP3CkxaqLGchd4OOWpZt_wlEODZvdCA5eMKjw3snRq5XCkv_fty0ty_xkoY-NN-vwfMMpgjJD9lRHks9ZoYxRyFoQATyABFxOQAcX7pHaPfIa0hLSFY8GyldjJAKHpeFqtTvSPGH_aNY03SozN8lB0_1HgM1uffXognrbQUyA.GSxTqxMI8TuTlNH5XnYJms7g50SZSZyW5zT4xdyLjJ4&dib_tag=se&keywords=beauty+sale&qid=1747949767&sr=8-24&tag=nicdav09-20
Goodreads Choice,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO74eHVeQSflXLRAsL3ay94QFWxATgnyP2MgwbjMmKXp_g8C7PV0les2UnDY1KHW_q5KIjiLq1Vov2UAp1HOV-YTKoeq76kA2sKoGwxHu6_f_hPAwNoOAhCjldkJAHmSWPbjC4rFNdt82lljxmwMUIgsqX5L1HnD8L-YWrET4HF5Jlw.Hp_V15Nd1CR7hXsFrRZcDV9r3vNWekWu7voBdPIqD9Y&dib_tag=se&keywords=books+deals&qid=1747949769&sr=8-3&tag=nicdav09-20
"How To Master Self-Hypnosis In A Weekend: The Simple, Systematic and Successful Way to Get Everything You Want",55%,$5.00 off,3.95,8.95,https://www.amazon.com/How-Master-Self-Hypnosis-Weekend-Systematic-ebook/dp/B00FFHHJNE/ref=sr_1_23?dib=eyJ2IjoiMSJ9.ueUN7kguRFtArwlJCXn7pxhD0tft3txWHrQdn2z9blwnwLUCrMeN84ocuUCsNp8yiQG4Es_l2hP5mgAlguJynBDI083wSGDzYIvgY_iFTEsxQkJna7-b1LMC1CVzilQBP2yG-tR9JpXtTU30zL3gJX6fsB5Zpn4USrVUs93wUWP0FSTjwh-CvBh5rRQc8q5iRqDK3NLueVQZhpwPHzHLG9b6t0x8fScKLmG2KgoLuiH18R99KewinpoFxRmfMCR6ICr1qG8_I9uomxzAAlwpwveDqHMoGozFIEFbvWIxbyE.t1MGb0XrNKZwHTdixzqLACn5m4AcA9YK10JmszKj6QM&dib_tag=se&keywords=price+reduction&qid=1747949771&sr=8-23&tag=nicdav09-20
Pathfinder Roleplaying Game: Ultimate Combat,50%,$20.00 off,19.99,39.99,https://www.amazon.com/Pathfinder-Roleplaying-Game-Ultimate-Combat/dp/1601253591/ref=sr_1_38?dib=eyJ2IjoiMSJ9.ueUN7kguRFtArwlJCXn7pxhD0tft3txWHrQdn2z9blwnwLUCrMeN84ocuUCsNp8yiQG4Es_l2hP5mgAlguJynBDI083wSGDzYIvgY_iFTEsxQkJna7-b1LMC1CVzilQBP2yG-tR9JpXtTU30zL3gJX6fsB5Zpn4USrVUs93wUWP0FSTjwh-CvBh5rRQc8q5iRqDK3NLueVQZhpwPHzHLG9b6t0x8fScKLmG2KgoLuiH18R99KewinpoFxRmfMCR6ICr1qG8_I9uomxzAAlwpwveDqHMoGozFIEFbvWIxbyE.t1MGb0XrNKZwHTdixzqLACn5m4AcA9YK10JmszKj6QM&dib_tag=se&keywords=price+reduction&qid=1747949771&sr=8-38&tag=nicdav09-20
Integrated Cost Reduction,58%,$29.45 off,20.5,49.95,https://www.amazon.com/Integrated-Cost-Reduction-Ron-Nussle/dp/159429013X/ref=sr_1_42?dib=eyJ2IjoiMSJ9.ueUN7kguRFtArwlJCXn7pxhD0tft3txWHrQdn2z9blwnwLUCrMeN84ocuUCsNp8yiQG4Es_l2hP5mgAlguJynBDI083wSGDzYIvgY_iFTEsxQkJna7-b1LMC1CVzilQBP2yG-tR9JpXtTU30zL3gJX6fsB5Zpn4USrVUs93wUWP0FSTjwh-CvBh5rRQc8q5iRqDK3NLueVQZhpwPHzHLG9b6t0x8fScKLmG2KgoLuiH18R99KewinpoFxRmfMCR6ICr1qG8_I9uomxzAAlwpwveDqHMoGozFIEFbvWIxbyE.t1MGb0XrNKZwHTdixzqLACn5m4AcA9YK10JmszKj6QM&dib_tag=se&keywords=price+reduction&qid=1747949771&sr=8-42&tag=nicdav09-20
