Product Title,Discount %,Dollar Amount Off,Current Price ($),Original Price ($),Affiliate Link
51% off,50%,$10.72 off,10.43,21.15,https://www.amazon.com/Amazon-Essentials-Hooded-Fleece-Sweatshirt/dp/B07C8Y6V5B?pd_rd_w=CIguJ&content-id=amzn1.sym.ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_p=ac5c182d-0d2a-466b-a480-035ead77f20e&pf_rd_r=S3JHH8N92306M9SJNAN7&pd_rd_wg=zk2gs&pd_rd_r=42c97e7e-deea-48a2-a822-098faef2e544&pd_rd_i=B07C8Y6V5B&tag=nicdav09-20
50% off,50%,$200.00 off,199.99,399.99,https://www.amazon.com/Blink-Outdoor-4th-Gen-5-Camera/dp/B0B1N4LM4J?pd_rd_w=isJMk&content-id=amzn1.sym.a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_p=a9064b4e-09e0-423b-84e4-0c9441b28789&pf_rd_r=S3JHH8N92306M9SJNAN7&pd_rd_wg=zk2gs&pd_rd_r=42c97e7e-deea-48a2-a822-098faef2e544&pd_rd_i=B0B1N4LM4J&tag=nicdav09-20
58% off,58%,$34.52 off,24.98,59.5,https://www.amazon.com/Nautica-Classic-Front-Stretch-Bright/dp/B075NY3ZFM?pd_rd_w=pVlYT&content-id=amzn1.sym.228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_p=228f31ca-2dc4-4734-9d0e-068866f7ede2&pf_rd_r=S3JHH8N92306M9SJNAN7&pd_rd_wg=zk2gs&pd_rd_r=42c97e7e-deea-48a2-a822-098faef2e544&pd_rd_i=B075NY3ZFM&tag=nicdav09-20
"Final Offer (Dreamland Billionaires, 3)",53%,$9.62 off,8.37,17.99,https://www.amazon.com/Final-Offer-Dreamland-Billionaires-3/dp/172827222X/ref=sr_1_22?dib=eyJ2IjoiMSJ9.KislBQApfexidDFzC8zPCw9sse06OJhVeRODwwjpR12jhO2xE6OohW4ybgn0mgQjvGJFr-eMx7B1tJ9GcAt_2apUSDmnVDPys5XSEFlaMr7FqtsL8h0Eo92DOXGP0dpivfmJY3MmuB2ldkyVdqfVELgG9SXH2FO0F53BjG-EABjJw1Y4a5LBad3tQQAOZ3EpH02skbRGFKZExftYcvYyPUYK_3LhNzQnsmgEwv0Euw7Ydwa5tKgEtISesahv2zItGjLH2r_54JLeEN37YEwQ_8fdoA7uJd1HLXaBtnqm87o.dbgcvygllNVQybo-2uIBM6hdhaUAZaaAYgNI1oqIjbY&dib_tag=se&keywords=special+offer&qid=1747769637&sr=8-22&tag=nicdav09-20
,64%,$11.60 off,6.39,17.99,https://www.amazon.com/Gayhay-High-Waisted-Leggings-Women/dp/B082QZRY8G/ref=sr_1_11?dib=eyJ2IjoiMSJ9.BM8dbjVE1IY8Gji61CV9m9_fqnos-m44scqoQmOOr_ZEKW0fBEQMGFKw3Y99AVa8WeTOfEZ1ieTOGJASfHzxdE-hT2YX-FlDjDRQsPlUxw5NbvwKCxKIYS3EYOXZH7P5y150S-xGJR448jx09g5Nn8ByiXHy_PB35xKEl3XMibyLFnqew386TB2w80Rfy-B6qVdkGBgi5MxTJOA98DnwgpgWhiPQwcRQaLPnc4-AAHhB8XgbAbYeQhHqGNUoF9jA1aJnXFJ1wURKQyv0kODFCcdu1NxQvEojvMcK4BXPG7s.Ak12odO38_TK3XBRCnMRda2AGJd8FHmdLM4-hBYE5yg&dib_tag=se&keywords=hot+deals&qid=1747769639&sr=8-11&tag=nicdav09-20
The Nightingale: A Novel,62%,$11.21 off,6.78,17.99,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO77HFHfWM0SaCp8KLl7a4vayPM4I17aH-stZdgNWZre--9OPPtgmrjrKv9tyOLfVewHZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KvAwNoOAhCjldkJAHmSWPbhhZSMiT8Ws1G9teREFRgdW7TG965W8PhP47Xzb1B5CdJOBtW1JEmM9DgJaJhzW3Rxw3e00NLYUHlACfdBWZ-5OYiOIBWgpOWIiDUoWmnXva1vO3cTMQfAd0GuR-964raU.-X4J5YG20ylNZJEyF_t-_3iINqSYzUxfY5NKx3FWnJI&dib_tag=se&keywords=books+deals&qid=1747769643&sr=8-1&tag=nicdav09-20
Where the Forest Meets the Stars,51%,$7.65 off,7.3,14.95,https://www.amazon.com/Where-Forest-Meets-Glendy-Vanderah/dp/1503904911/ref=sr_1_3?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO77HFHfWM0SaCp8KLl7a4vayPM4I17aH-stZdgNWZre--9OPPtgmrjrKv9tyOLfVewHZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KvAwNoOAhCjldkJAHmSWPbhhZSMiT8Ws1G9teREFRgdW7TG965W8PhP47Xzb1B5CdJOBtW1JEmM9DgJaJhzW3Rxw3e00NLYUHlACfdBWZ-5OYiOIBWgpOWIiDUoWmnXva1vO3cTMQfAd0GuR-964raU.-X4J5YG20ylNZJEyF_t-_3iINqSYzUxfY5NKx3FWnJI&dib_tag=se&keywords=books+deals&qid=1747769643&sr=8-3&tag=nicdav09-20
The Great Alone: A Novel,54%,$10.28 off,8.72,19.0,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/1250229537/ref=sr_1_6?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO77HFHfWM0SaCp8KLl7a4vayPM4I17aH-stZdgNWZre--9OPPtgmrjrKv9tyOLfVewHZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KvAwNoOAhCjldkJAHmSWPbhhZSMiT8Ws1G9teREFRgdW7TG965W8PhP47Xzb1B5CdJOBtW1JEmM9DgJaJhzW3Rxw3e00NLYUHlACfdBWZ-5OYiOIBWgpOWIiDUoWmnXva1vO3cTMQfAd0GuR-964raU.-X4J5YG20ylNZJEyF_t-_3iINqSYzUxfY5NKx3FWnJI&dib_tag=se&keywords=books+deals&qid=1747769643&sr=8-6&tag=nicdav09-20
"Throttled (Deluxe Edition) (Dirty Air, 1)",65%,$11.71 off,6.28,17.99,https://www.amazon.com/Throttled-Dirty-Air-Lauren-Asher/dp/1464227616/ref=sr_1_10?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO77HFHfWM0SaCp8KLl7a4vayPM4I17aH-stZdgNWZre--9OPPtgmrjrKv9tyOLfVewHZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KvAwNoOAhCjldkJAHmSWPbhhZSMiT8Ws1G9teREFRgdW7TG965W8PhP47Xzb1B5CdJOBtW1JEmM9DgJaJhzW3Rxw3e00NLYUHlACfdBWZ-5OYiOIBWgpOWIiDUoWmnXva1vO3cTMQfAd0GuR-964raU.-X4J5YG20ylNZJEyF_t-_3iINqSYzUxfY5NKx3FWnJI&dib_tag=se&keywords=books+deals&qid=1747769643&sr=8-10&tag=nicdav09-20
I Am Watching You,54%,$8.66 off,7.29,15.95,https://www.amazon.com/Am-Watching-You-Teresa-Driscoll/dp/1542046599/ref=sr_1_11?dib=eyJ2IjoiMSJ9.B8zTI0e1WPhHg1_UEcr9IvfyWKFNGOJwHiwVQLNjO77HFHfWM0SaCp8KLl7a4vayPM4I17aH-stZdgNWZre--9OPPtgmrjrKv9tyOLfVewHZ4HmUtrZtpte-8_cHI8m_WcSgkMDF8asw-nNPDWu7KvAwNoOAhCjldkJAHmSWPbhhZSMiT8Ws1G9teREFRgdW7TG965W8PhP47Xzb1B5CdJOBtW1JEmM9DgJaJhzW3Rxw3e00NLYUHlACfdBWZ-5OYiOIBWgpOWIiDUoWmnXva1vO3cTMQfAd0GuR-964raU.-X4J5YG20ylNZJEyF_t-_3iINqSYzUxfY5NKx3FWnJI&dib_tag=se&keywords=books+deals&qid=1747769643&sr=8-11&tag=nicdav09-20
